frame,queue density
1,0.128511
2,0.155489
3,0.161581
4,0.170548
5,0.233321
6,0.269944
7,0.280033
8,0.252308
9,0.245113
10,0.24875
11,0.247754
12,0.237729
13,0.242315
14,0.235907
15,0.256837
16,0.251222
17,0.262139
18,0.262574
19,0.279552
20,0.353908
21,0.425966
22,0.473728
23,0.486228
24,0.511946
25,0.584055
26,0.60723
27,0.598507
28,0.638717
29,0.717982
30,0.821687
31,0.801123
32,0.802289
33,0.801993
34,0.808706
35,0.808117
36,0.794705
37,0.776768
38,0.826482
39,0.835325
40,0.844174
41,0.840832
42,0.841004
43,0.842055
44,0.820131
45,0.844046
46,0.866286
47,0.863503
48,0.837223
49,0.851984
50,0.847386
51,0.818694
52,0.847691
53,0.847204
54,0.843418
55,0.842644
56,0.842637
57,0.846716
58,0.824864
59,0.852214
60,0.840425
61,0.839537
62,0.854483
63,0.823099
64,0.843941
65,0.827822
66,0.836585
67,0.838126
68,0.826541
69,0.858461
70,0.870574
71,0.857768
72,0.868764
73,0.778836
74,0.725534
75,0.647742
76,0.68611
77,0.721927
78,0.630041
79,0.634553
80,0.616059
81,0.696173
82,0.553077
83,0.412222
84,0.335777
85,0.33344
86,0.343956
87,0.305592
88,0.189736
89,0.205156
90,0.275067
91,0.319068
92,0.279692
93,0.0582076
94,0
95,0
96,0.217099
97,0.293303
98,0.0808156
99,0
100,0.0134295
101,0.209137
102,0.280376
103,0.241024
104,0.0827185
105,0
106,0
107,0
108,0.0274643
109,0.0980488
110,0.0862317
111,0.0388383
112,0.0107972
113,0.0209849
114,0.0845906
115,0.0433618
116,0.0380305
117,0.0648407
118,0
119,0.0254247
120,0.0783042
121,0.11621
122,0
123,0
124,0
125,0.0155243
126,0.155499
127,0.19668
128,0.11834
129,0.0602557
130,0.0953062
131,0.128654
132,0.159333
133,0.158444
134,0.157523
135,0.175248
136,0.182303
137,0.18777
138,0.193685
139,0.170122
140,0.184131
141,0.272968
142,0.360538
143,0.477977
144,0.593064
145,0.607133
146,0.657942
147,0.790545
148,0.799092
149,0.731763
150,0.810415
151,0.809931
152,0.839906
153,0.841615
154,0.84901
155,0.848348
156,0.850592
157,0.877766
158,0.837038
159,0.85868
160,0.849869
161,0.842574
162,0.87818
163,0.872235
164,0.816556
165,0.850651
166,0.82591
167,0.830684
168,0.8454
169,0.846458
170,0.84982
171,0.868253
172,0.834873
173,0.851894
174,0.848404
175,0.811157
176,0.838226
177,0.821992
178,0.839759
179,0.839809
180,0.838409
181,0.87898
182,0.835972
183,0.849069
184,0.848566
185,0.837536
186,0.847259
187,0.846037
188,0.842328
189,0.841686
190,0.842256
191,0.842812
192,0.843927
193,0.841926
194,0.845304
195,0.841243
196,0.847764
197,0.850312
198,0.896035
199,0.933947
200,0.913794
201,0.967498
202,0.775361
203,0.707043
204,0.669751
205,0.750042
206,0.671435
207,0.603207
208,0.589821
209,0.49695
210,0.453759
211,0.468937
212,0.460859
213,0.471402
214,0.390406
215,0.624813
216,0.687384
217,0.588436
218,0.508992
219,0.475772
220,0.363205
221,0.444018
222,0.351992
223,0.281429
224,0.277368
225,0.400513
226,0.348827
227,0.150506
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0.127269
236,0.088865
237,0.105401
238,0.116983
239,0
240,0.0221786
241,0.117174
242,0.190178
243,0.0603045
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0.0697384
252,0.125388
253,0.199467
254,0.232463
255,0.283943
256,0.333095
257,0.361317
258,0.404321
259,0.4702
260,0.503409
261,0.489358
262,0.605259
263,0.668548
264,0.756533
265,0.832509
266,0.897591
267,0.881968
268,0.882206
269,0.88421
270,0.874317
271,0.882717
272,0.877858
273,0.887023
