frame,queue density
1,0.102459
2,0.117614
3,0.125217
4,0.131964
5,0.136603
6,0.154693
7,0.155489
8,0.157513
9,0.162282
10,0.160821
11,0.162579
12,0.163713
13,0.166421
14,0.170548
15,0.217526
16,0.224406
17,0.233552
18,0.230498
19,0.262014
20,0.271196
21,0.269944
22,0.273475
23,0.277561
24,0.273569
25,0.279631
26,0.275254
27,0.256612
28,0.252308
29,0.246888
30,0.250871
31,0.248562
32,0.247259
33,0.250364
34,0.249823
35,0.24875
36,0.248097
37,0.247146
38,0.247894
39,0.249089
40,0.242235
41,0.243216
42,0.237729
43,0.237729
44,0.23842
45,0.236949
46,0.241874
47,0.252272
48,0.25224
49,0.235907
50,0.236861
51,0.238224
52,0.254756
53,0.254601
54,0.251809
55,0.252432
56,0.251222
57,0.254535
58,0.253274
59,0.259715
60,0.260931
61,0.260917
62,0.261305
63,0.262574
64,0.259261
65,0.271829
66,0.277563
67,0.28033
68,0.302239
69,0.335626
70,0.353908
71,0.381333
72,0.405669
73,0.423147
74,0.416774
75,0.439611
76,0.472827
77,0.473728
78,0.482145
79,0.479539
80,0.486235
81,0.486618
82,0.48943
83,0.482546
84,0.511946
85,0.54838
86,0.568302
87,0.578464
88,0.585234
89,0.627524
90,0.597875
91,0.60723
92,0.62024
93,0.616909
94,0.601009
95,0.586332
96,0.611022
97,0.629244
98,0.638717
99,0.653611
100,0.674396
101,0.700066
102,0.726321
103,0.739931
104,0.820182
105,0.821687
106,0.819002
107,0.811808
108,0.80268
109,0.797109
110,0.806099
111,0.804372
112,0.802289
113,0.800851
114,0.801752
115,0.801818
116,0.795987
117,0.808154
118,0.808056
119,0.808706
120,0.804358
121,0.805749
122,0.806568
123,0.801382
124,0.79039
125,0.79379
126,0.794705
127,0.789303
128,0.788617
129,0.76934
130,0.78623
131,0.797939
132,0.814455
133,0.826482
134,0.843014
135,0.84473
136,0.836525
137,0.841052
138,0.843024
139,0.844096
140,0.844174
141,0.842809
142,0.841395
143,0.840905
144,0.841077
145,0.829379
146,0.830578
147,0.841004
148,0.841133
149,0.841931
150,0.841809
151,0.841331
152,0.842414
153,0.820823
154,0.820131
155,0.822766
156,0.833746
157,0.836583
158,0.844821
159,0.857461
160,0.858503
161,0.866286
162,0.868792
163,0.863517
164,0.864002
165,0.863894
166,0.860102
167,0.861179
168,0.837223
169,0.855626
170,0.852197
171,0.851987
172,0.850996
173,0.831629
174,0.83066
175,0.847386
176,0.845942
177,0.819219
178,0.818717
179,0.820062
180,0.821637
181,0.845525
182,0.847691
183,0.849812
184,0.850411
185,0.849114
186,0.846766
187,0.845627
188,0.844844
189,0.843418
190,0.842299
191,0.843056
192,0.843214
193,0.843118
194,0.84973
195,0.841609
196,0.842637
197,0.842949
198,0.845808
199,0.846163
200,0.846747
201,0.84717
202,0.823612
203,0.824864
204,0.825245
205,0.827373
206,0.850357
207,0.852478
208,0.847394
209,0.84535
210,0.840425
211,0.842435
212,0.846534
213,0.846207
214,0.837178
215,0.848358
216,0.854333
217,0.854483
218,0.851509
219,0.830491
220,0.831263
221,0.821051
222,0.845314
223,0.829708
224,0.843941
225,0.846126
226,0.849276
227,0.828174
228,0.827165
229,0.823874
230,0.822302
231,0.836585
232,0.836709
233,0.835511
234,0.83837
235,0.81874
236,0.816024
237,0.818932
238,0.826541
239,0.819837
240,0.840927
241,0.853714
242,0.862511
243,0.86991
244,0.87577
245,0.870574
246,0.84846
247,0.86391
248,0.854312
249,0.869904
250,0.843023
251,0.853784
252,0.868764
253,0.803017
254,0.803041
255,0.798847
256,0.791592
257,0.813838
258,0.790991
259,0.725534
260,0.710437
261,0.681945
262,0.640168
263,0.651854
264,0.66013
265,0.668874
266,0.68611
267,0.79122
268,0.785445
269,0.757597
270,0.711991
271,0.696947
272,0.697529
273,0.630041
274,0.643704
275,0.601471
276,0.639685
277,0.624881
278,0.588047
279,0.585754
280,0.616059
281,0.64498
282,0.655481
283,0.689913
284,0.672731
285,0.623973
286,0.633288
287,0.553077
288,0.557203
289,0.607657
290,0.454007
291,0.386973
292,0.371991
293,0.370924
294,0.335777
295,0.382682
296,0.380969
297,0.34403
298,0.326578
299,0.299072
300,0.308291
301,0.343956
302,0.312046
303,0.285884
304,0.291283
305,0.283415
306,0.274521
307,0.235464
308,0.189736
309,0.150206
310,0.184542
311,0.176855
312,0.223472
313,0.247209
314,0.277569
315,0.275067
316,0.267836
317,0.347588
318,0.332872
319,0.316503
320,0.292724
321,0.297726
322,0.279692
323,0.231758
324,0.168932
325,0.0896866
326,0.0395189
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0.0610741
335,0.139272
336,0.217099
337,0.270172
338,0.303437
339,0.294757
340,0.290513
341,0.218338
342,0.145122
343,0.0808156
344,0.0415638
345,0
346,0
347,0
348,0
349,0
350,0.0134295
351,0.05825
352,0.110964
353,0.171674
354,0.242983
355,0.294528
356,0.296119
357,0.280376
358,0.260655
359,0.256579
360,0.250332
361,0.224688
362,0.188539
363,0.132243
364,0.0827185
365,0.0356431
366,0.0155996
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0.0274643
379,0.06213
380,0.0792763
381,0.0924535
382,0.104255
383,0.114768
384,0.119538
385,0.0862317
386,0.0645598
387,0.017583
388,0.0439788
389,0.0239183
390,0.0226694
391,0
392,0.0107972
393,0.0140476
394,0.0146285
395,0.0214196
396,0.0166215
397,0
398,0.0646594
399,0.0845906
400,0.0991831
401,0.112023
402,0.0681939
403,0.019999
404,0
405,0
406,0.0380305
407,0.0529229
408,0.0627512
409,0.0718502
410,0.0522678
411,0.0218076
412,0
413,0
414,0.0157565
415,0.0200891
416,0.0232027
417,0.0229748
418,0.0265007
419,0.052254
420,0.0783042
421,0.0929793
422,0.104467
423,0.11543
424,0.0985968
425,0.0573659
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0.0327522
439,0.0480528
440,0.0904584
441,0.155499
442,0.201395
443,0.217506
444,0.190461
445,0.202563
446,0.185987
447,0.141755
448,0.11834
449,0.0811845
450,0.0678451
451,0.0705855
452,0.0556008
453,0.0745174
454,0.0751302
455,0.0953062
456,0.0986954
457,0.112315
458,0.11076
459,0.120662
460,0.13475
461,0.150108
462,0.159333
463,0.151838
464,0.165395
465,0.160159
466,0.158775
467,0.164773
468,0.166259
469,0.157523
470,0.16775
471,0.178059
472,0.174097
473,0.174084
474,0.178139
475,0.180424
476,0.182303
477,0.177941
478,0.187193
479,0.189222
480,0.185748
481,0.182154
482,0.194446
483,0.193685
484,0.1905
485,0.179881
486,0.182368
487,0.171654
488,0.171464
489,0.178781
490,0.184131
491,0.203142
492,0.228446
493,0.254703
494,0.284234
495,0.310563
496,0.342408
497,0.360538
498,0.393197
499,0.431702
500,0.455128
501,0.476145
502,0.516146
503,0.567528
504,0.593064
505,0.614712
506,0.639197
507,0.605738
508,0.610153
509,0.607405
510,0.621822
511,0.657942
512,0.696954
513,0.731115
514,0.752024
515,0.771108
516,0.788092
517,0.789899
518,0.799092
519,0.738953
520,0.734856
521,0.733796
522,0.730993
523,0.732314
524,0.743565
525,0.810415
526,0.811929
527,0.801086
528,0.809592
529,0.809588
530,0.810021
531,0.805605
532,0.839906
533,0.839207
534,0.840619
535,0.840071
536,0.842123
537,0.846318
538,0.848629
539,0.84901
540,0.846323
541,0.847848
542,0.84925
543,0.848843
544,0.849228
545,0.848553
546,0.850592
547,0.848026
548,0.835608
549,0.844659
550,0.877015
551,0.877699
552,0.834894
553,0.837038
554,0.839274
555,0.858626
556,0.857571
557,0.859647
558,0.86045
559,0.868557
560,0.849869
561,0.847425
562,0.845241
563,0.843224
564,0.842835
565,0.870592
566,0.835609
567,0.87818
568,0.878696
569,0.872401
570,0.87241
571,0.872372
572,0.879182
573,0.816356
574,0.816556
575,0.817443
576,0.818424
577,0.839375
578,0.849501
579,0.882983
580,0.844029
581,0.82591
582,0.857186
583,0.840687
584,0.857777
585,0.843128
586,0.84402
587,0.845246
588,0.8454
589,0.845711
590,0.842301
591,0.844749
592,0.847297
593,0.847978
594,0.881839
595,0.84982
596,0.85026
597,0.86751
598,0.867506
599,0.815626
600,0.844717
601,0.81576
602,0.834873
603,0.839875
604,0.850784
605,0.85095
606,0.855147
607,0.856502
608,0.829848
609,0.848404
610,0.843977
611,0.843452
612,0.81166
613,0.811483
614,0.818184
615,0.840018
616,0.838226
617,0.814863
618,0.817263
619,0.817645
620,0.838898
621,0.839171
622,0.839276
623,0.839759
624,0.84041
625,0.839626
626,0.839549
627,0.84042
628,0.840728
629,0.83912
630,0.838409
631,0.839143
632,0.840381
633,0.879953
634,0.877267
635,0.822068
636,0.820466
637,0.835972
638,0.836888
639,0.838215
640,0.848613
641,0.847056
642,0.845176
643,0.844118
644,0.848566
645,0.843414
646,0.83101
647,0.833736
648,0.836088
649,0.849794
650,0.8473
651,0.847259
652,0.847293
653,0.847047
654,0.845839
655,0.846436
656,0.847688
657,0.848025
658,0.842328
659,0.844684
660,0.84551
661,0.845799
662,0.841617
663,0.841668
664,0.841894
665,0.842256
666,0.841253
667,0.841592
668,0.841552
669,0.843948
670,0.842369
671,0.844396
672,0.843927
673,0.843626
674,0.841816
675,0.84185
676,0.842765
677,0.842691
678,0.843568
679,0.845304
680,0.845333
681,0.845654
682,0.845918
683,0.844448
684,0.845583
685,0.845833
686,0.847764
687,0.84573
688,0.846656
689,0.849034
690,0.849958
691,0.848269
692,0.892949
693,0.896035
694,0.903758
695,0.911931
696,0.925447
697,0.91611
698,0.930991
699,0.917093
700,0.913794
701,0.922091
702,0.96512
703,0.951393
704,0.96298
705,0.913061
706,0.88615
707,0.775361
708,0.726739
709,0.79861
710,0.734522
711,0.708176
712,0.730087
713,0.730688
714,0.669751
715,0.656793
716,0.650817
717,0.750633
718,0.736552
719,0.769774
720,0.69482
721,0.671435
722,0.649314
723,0.628788
724,0.613509
725,0.606112
726,0.593454
727,0.569333
728,0.589821
729,0.552354
730,0.540321
731,0.51206
732,0.492274
733,0.459778
734,0.43875
735,0.453759
736,0.452483
737,0.453987
738,0.458637
739,0.486437
740,0.480199
741,0.46059
742,0.460859
743,0.45831
744,0.437044
745,0.44953
746,0.435414
747,0.416921
748,0.406053
749,0.390406
750,0.484594
751,0.544303
752,0.607928
753,0.615992
754,0.650071
755,0.710796
756,0.687384
757,0.645411
758,0.571359
759,0.576715
760,0.610914
761,0.589945
762,0.522567
763,0.508992
764,0.517496
765,0.518406
766,0.501863
767,0.465941
768,0.474246
769,0.422996
770,0.363205
771,0.343255
772,0.368729
773,0.411193
774,0.435091
775,0.420276
776,0.401941
777,0.351992
778,0.334543
779,0.28078
780,0.276449
781,0.282413
782,0.295613
783,0.266062
784,0.277368
785,0.324729
786,0.386291
787,0.38144
788,0.400186
789,0.364731
790,0.348188
791,0.348827
792,0.282784
793,0.224124
794,0.171421
795,0.118127
796,0.0613657
797,0.022909
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0.0389136
821,0.0706141
822,0.118376
823,0.135796
824,0.13901
825,0.116648
826,0.088865
827,0.0533512
828,0.0492751
829,0.0844825
830,0.116333
831,0.13297
832,0.14896
833,0.116983
834,0.0980297
835,0.0455456
836,0.0159081
837,0
838,0.014691
839,0.0184873
840,0.0221786
841,0.0351724
842,0.0573627
843,0.086273
844,0.145267
845,0.195719
846,0.20678
847,0.190178
848,0.129857
849,0.111354
850,0.0699208
851,0.0610434
852,0.0423441
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0.0489761
878,0.064458
879,0.0736746
880,0.0800025
881,0.0845535
882,0.125388
883,0.167191
884,0.184835
885,0.195673
886,0.196942
887,0.189274
888,0.194412
889,0.232463
890,0.240754
891,0.249209
892,0.268238
893,0.284158
894,0.297608
895,0.308697
896,0.333095
897,0.321867
898,0.334147
899,0.358047
900,0.362723
901,0.378605
902,0.379362
903,0.404321
904,0.426016
905,0.433889
906,0.46266
907,0.491256
908,0.503755
909,0.517267
910,0.503409
911,0.477641
912,0.470135
913,0.467413
914,0.503641
915,0.538104
916,0.57131
917,0.605259
918,0.626595
919,0.627921
920,0.646106
921,0.677672
922,0.711036
923,0.735584
924,0.756533
925,0.762144
926,0.781837
927,0.79868
928,0.837999
929,0.839926
930,0.850017
931,0.897591
932,0.897967
933,0.878665
934,0.879189
935,0.890525
936,0.8904
937,0.881971
938,0.882206
939,0.881339
940,0.882035
941,0.883664
942,0.869585
943,0.875398
944,0.876863
945,0.874317
946,0.878291
947,0.879216
948,0.887701
949,0.863243
950,0.871577
951,0.877493
952,0.877858
953,0.880248
954,0.885183
955,0.886804
956,0.887545
