frame,queue density
1,0.0841857
2,0.102459
3,0.112936
4,0.117614
5,0.121672
6,0.125217
7,0.128511
8,0.131964
9,0.133507
10,0.136603
11,0.149496
12,0.154693
13,0.154447
14,0.155489
15,0.155575
16,0.157513
17,0.160755
18,0.162282
19,0.159972
20,0.160821
21,0.161581
22,0.162579
23,0.162874
24,0.163713
25,0.165001
26,0.166421
27,0.168451
28,0.170548
29,0.203297
30,0.217526
31,0.221691
32,0.224406
33,0.231097
34,0.233552
35,0.233321
36,0.230498
37,0.250958
38,0.262014
39,0.269603
40,0.271196
41,0.268919
42,0.269944
43,0.272165
44,0.273475
45,0.275525
46,0.277561
47,0.279703
48,0.273569
49,0.280033
50,0.279631
51,0.277304
52,0.275254
53,0.270787
54,0.256612
55,0.253278
56,0.252308
57,0.24751
58,0.246888
59,0.241002
60,0.250871
61,0.251618
62,0.248562
63,0.245113
64,0.247259
65,0.249116
66,0.250364
67,0.252346
68,0.249823
69,0.248553
70,0.24875
71,0.249228
72,0.248097
73,0.243164
74,0.247146
75,0.247277
76,0.247894
77,0.247754
78,0.249089
79,0.247551
80,0.242235
81,0.24494
82,0.243216
83,0.237499
84,0.237729
85,0.237702
86,0.237729
87,0.23792
88,0.23842
89,0.238508
90,0.236949
91,0.242315
92,0.241874
93,0.238386
94,0.252272
95,0.255221
96,0.25224
97,0.23703
98,0.235907
99,0.236674
100,0.236861
101,0.237009
102,0.238224
103,0.250942
104,0.254756
105,0.256837
106,0.254601
107,0.248327
108,0.251809
109,0.251516
110,0.252432
111,0.251845
112,0.251222
113,0.254322
114,0.254535
115,0.254098
116,0.253274
117,0.262807
118,0.259715
119,0.262139
120,0.260931
121,0.260426
122,0.260917
123,0.260516
124,0.261305
125,0.261928
126,0.262574
127,0.26271
128,0.259261
129,0.269125
130,0.271829
131,0.276452
132,0.277563
133,0.279552
134,0.28033
135,0.282985
136,0.302239
137,0.318284
138,0.335626
139,0.3497
140,0.353908
141,0.367966
142,0.381333
143,0.393975
144,0.405669
145,0.416743
146,0.423147
147,0.425966
148,0.416774
149,0.429564
150,0.439611
151,0.464832
152,0.472827
153,0.468133
154,0.473728
155,0.484964
156,0.482145
157,0.475667
158,0.479539
159,0.48269
160,0.486235
161,0.486228
162,0.486618
163,0.486832
164,0.48943
165,0.483992
166,0.482546
167,0.498929
168,0.511946
169,0.525154
170,0.54838
171,0.559413
172,0.568302
173,0.575736
174,0.578464
175,0.584055
176,0.585234
177,0.588182
178,0.627524
179,0.593968
180,0.597875
181,0.606679
182,0.60723
183,0.617457
184,0.62024
185,0.618515
186,0.616909
187,0.602201
188,0.601009
189,0.598507
190,0.586332
191,0.603742
192,0.611022
193,0.618348
194,0.629244
195,0.638086
196,0.638717
197,0.652251
198,0.653611
199,0.659
200,0.674396
201,0.68307
202,0.700066
203,0.717982
204,0.726321
205,0.734108
206,0.739931
207,0.753394
208,0.820182
209,0.820383
210,0.821687
211,0.821457
212,0.819002
213,0.815848
214,0.811808
215,0.804358
216,0.80268
217,0.801123
218,0.797109
219,0.807044
220,0.806099
221,0.805573
222,0.804372
223,0.802185
224,0.802289
225,0.801202
226,0.800851
227,0.80906
228,0.801752
229,0.802707
230,0.801818
231,0.801993
232,0.795987
233,0.798129
234,0.808154
235,0.808235
236,0.808056
237,0.80834
238,0.808706
239,0.809469
240,0.804358
241,0.805443
242,0.805749
243,0.806287
244,0.806568
245,0.808117
246,0.801382
247,0.801268
248,0.79039
249,0.792927
250,0.79379
251,0.79416
252,0.794705
253,0.801431
254,0.789303
255,0.778388
256,0.788617
257,0.768743
258,0.76934
259,0.776768
260,0.78623
261,0.797832
262,0.797939
263,0.798216
264,0.814455
265,0.824694
266,0.826482
267,0.824773
268,0.843014
269,0.844044
270,0.84473
271,0.835097
272,0.836525
273,0.835325
274,0.841052
275,0.842314
276,0.843024
277,0.844806
278,0.844096
279,0.843963
280,0.844174
281,0.844178
282,0.842809
283,0.842741
284,0.841395
285,0.842151
286,0.840905
287,0.840832
288,0.841077
289,0.840552
290,0.829379
291,0.840886
292,0.830578
293,0.84005
294,0.841004
295,0.825983
296,0.841133
297,0.84151
298,0.841931
299,0.841727
300,0.841809
301,0.842055
302,0.841331
303,0.842161
304,0.842414
305,0.842267
306,0.820823
307,0.820061
308,0.820131
309,0.820215
310,0.822766
311,0.823918
312,0.833746
313,0.833674
314,0.836583
315,0.844046
316,0.844821
317,0.844861
318,0.857461
319,0.858509
320,0.858503
321,0.865692
322,0.866286
323,0.867349
324,0.868792
325,0.868133
326,0.863517
327,0.864522
328,0.864002
329,0.863503
330,0.863894
331,0.863966
332,0.860102
333,0.860927
334,0.861179
335,0.836431
336,0.837223
337,0.856087
338,0.855626
339,0.852729
340,0.852197
341,0.85276
342,0.851987
343,0.851984
344,0.850996
345,0.821772
346,0.831629
347,0.831055
348,0.83066
349,0.831458
350,0.847386
351,0.846687
352,0.845942
353,0.845247
354,0.819219
355,0.819123
356,0.818717
357,0.818694
358,0.820062
359,0.820379
360,0.821637
361,0.82193
362,0.845525
363,0.846347
364,0.847691
365,0.848752
366,0.849812
367,0.850644
368,0.850411
369,0.851443
370,0.849114
371,0.847204
372,0.846766
373,0.844708
374,0.845627
375,0.84455
376,0.844844
377,0.844042
378,0.843418
379,0.841848
380,0.842299
381,0.842549
382,0.843056
383,0.843528
384,0.843214
385,0.842644
386,0.843118
387,0.834734
388,0.84973
389,0.842612
390,0.841609
391,0.842594
392,0.842637
393,0.843603
394,0.842949
395,0.842868
396,0.845808
397,0.846179
398,0.846163
399,0.846716
400,0.846747
401,0.847181
402,0.84717
403,0.847547
404,0.823612
405,0.824186
406,0.824864
407,0.825308
408,0.825245
409,0.825838
410,0.827373
411,0.828878
412,0.850357
413,0.852214
414,0.852478
415,0.849968
416,0.847394
417,0.844653
418,0.84535
419,0.845585
420,0.840425
421,0.838313
422,0.842435
423,0.84331
424,0.846534
425,0.84901
426,0.846207
427,0.839537
428,0.837178
429,0.84128
430,0.848358
431,0.851787
432,0.854333
433,0.854223
434,0.854483
435,0.852552
436,0.851509
437,0.849607
438,0.830491
439,0.831369
440,0.831263
441,0.823099
442,0.821051
443,0.845539
444,0.845314
445,0.836092
446,0.829708
447,0.830824
448,0.843941
449,0.844741
450,0.846126
451,0.847441
452,0.849276
453,0.850048
454,0.828174
455,0.827822
456,0.827165
457,0.826704
458,0.823874
459,0.822979
460,0.822302
461,0.82158
462,0.836585
463,0.837351
464,0.836709
465,0.840364
466,0.835511
467,0.835104
468,0.83837
469,0.838126
470,0.81874
471,0.812016
472,0.816024
473,0.81126
474,0.818932
475,0.809948
476,0.826541
477,0.825595
478,0.819837
479,0.832258
480,0.840927
481,0.843975
482,0.853714
483,0.858461
484,0.862511
485,0.871946
486,0.86991
487,0.872362
488,0.87577
489,0.879651
490,0.870574
491,0.848624
492,0.84846
493,0.847118
494,0.86391
495,0.844498
496,0.854312
497,0.857768
498,0.869904
499,0.856647
500,0.843023
501,0.845625
502,0.853784
503,0.860413
504,0.868764
505,0.806264
506,0.803017
507,0.770121
508,0.803041
509,0.80886
510,0.798847
511,0.778836
512,0.791592
513,0.780923
514,0.813838
515,0.768458
516,0.790991
517,0.730059
518,0.725534
519,0.726542
520,0.710437
521,0.681816
522,0.681945
523,0.653798
524,0.640168
525,0.647742
526,0.651854
527,0.652975
528,0.66013
529,0.655745
530,0.668874
531,0.791014
532,0.68611
533,0.785374
534,0.79122
535,0.792531
536,0.785445
537,0.772478
538,0.757597
539,0.721927
540,0.711991
541,0.708465
542,0.696947
543,0.703085
544,0.697529
545,0.63133
546,0.630041
547,0.648819
548,0.643704
549,0.627286
550,0.601471
551,0.608788
552,0.639685
553,0.634553
554,0.624881
555,0.612259
556,0.588047
557,0.599389
558,0.585754
559,0.604191
560,0.616059
561,0.621793
562,0.64498
563,0.609635
564,0.655481
565,0.671135
566,0.689913
567,0.696173
568,0.672731
569,0.665002
570,0.623973
571,0.609617
572,0.633288
573,0.564291
574,0.553077
575,0.550948
576,0.557203
577,0.523645
578,0.607657
579,0.472506
580,0.454007
581,0.412222
582,0.386973
583,0.359668
584,0.371991
585,0.354177
586,0.370924
587,0.334406
588,0.335777
589,0.371002
590,0.382682
591,0.373115
592,0.380969
593,0.365145
594,0.34403
595,0.33344
596,0.326578
597,0.3079
598,0.299072
599,0.299828
600,0.308291
601,0.336146
602,0.343956
603,0.336148
604,0.312046
605,0.302692
606,0.285884
607,0.293518
608,0.291283
609,0.305592
610,0.283415
611,0.284042
612,0.274521
613,0.253225
614,0.235464
615,0.213902
616,0.189736
617,0.145009
618,0.150206
619,0.177687
620,0.184542
621,0.189342
622,0.176855
623,0.205156
624,0.223472
625,0.227162
626,0.247209
627,0.26145
628,0.277569
629,0.2874
630,0.275067
631,0.277569
632,0.267836
