frame,dyanamic density
0.0666667,0.143
0.266667,0.1365
0.466667,0.208
0.666667,0.208
0.866667,0.091
1.06667,0.13
1.26667,0.1235
1.46667,0.0975
1.66667,0.143
1.86667,0.1495
2.06667,0.1365
2.26667,0.104
2.46667,0.1495
2.66667,0.104
2.86667,0.143
3.06667,0.1625
3.26667,0.117
3.46667,0.1365
3.66667,0.1235
3.86667,0.1365
4.06667,0.052
4.26667,0.052
4.46667,0.039
4.66667,0.065
4.86667,0.039
5.06667,0.0455
5.26667,0.0585
5.46667,0.091
5.66667,0.1365
5.86667,0.1365
6.06667,0.1495
6.26667,0.2405
6.46667,0.1755
6.66667,0.1365
6.86667,0.169
7.06667,0.1755
7.26667,0.195
7.46667,0.1625
7.66667,0.1365
7.86667,0.1755
8.06667,0.208
8.26667,0.2145
8.46667,0.2795
8.66667,0.208
8.86667,0.286
9.06667,0.2925
9.26667,0.2405
9.46667,0.2275
9.66667,0.1885
9.86667,0.234
10.0667,0.1885
10.2667,0.1885
10.4667,0.1625
10.6667,0.2535
10.8667,0.2145
11.0667,0.1495
11.2667,0.143
11.4667,0.1235
11.6667,0.1495
11.8667,0.104
12.0667,0.1105
12.2667,0.0195
12.4667,0
12.6667,0.0065
12.8667,0.013
13.0667,0
13.2667,0.013
13.4667,0
13.6667,0.013
13.8667,0.0065
14.0667,0.0065
14.2667,0.013
14.4667,0
14.6667,0.0195
14.8667,0.013
15.0667,0.013
15.2667,0.0065
15.4667,0.0065
15.6667,0.0195
15.8667,0.026
16.0667,0.0065
16.2667,0.013
16.4667,0
16.6667,0
16.8667,0
17.0667,0
17.2667,0
17.4667,0
17.6667,0
17.8667,0
18.0667,0
18.2667,0.0065
18.4667,0.0065
18.6667,0.039
18.8667,0.0455
19.0667,0.065
19.2667,0.026
19.4667,0.026
19.6667,0.0065
19.8667,0.0065
20.0667,0
20.2667,0
20.4667,0
20.6667,0
20.8667,0
21.0667,0
21.2667,0.013
21.4667,0.0325
21.6667,0.0195
21.8667,0.013
22.0667,0.013
22.2667,0.013
22.4667,0.026
22.6667,0.039
22.8667,0.026
23.0667,0.0715
23.2667,0.078
23.4667,0.052
23.6667,0.065
23.8667,0.065
24.0667,0.078
24.2667,0.078
24.4667,0.091
24.6667,0.0585
24.8667,0.065
25.0667,0.078
25.2667,0.0715
25.4667,0.1105
25.6667,0.1755
25.8667,0.1495
26.0667,0.169
26.2667,0.195
26.4667,0.104
26.6667,0.1105
26.8667,0.117
27.0667,0.1105
27.2667,0.1105
27.4667,0.0975
27.6667,0.0715
27.8667,0.104
28.0667,0.065
28.2667,0.1235
28.4667,0.1755
28.6667,0.1625
28.8667,0.1495
29.0667,0.1495
29.2667,0.156
29.4667,0.1495
29.6667,0.0585
29.8667,0.052
30.0667,0.052
30.2667,0.0715
30.4667,0.065
30.6667,0.0585
30.8667,0.0585
31.0667,0.039
31.2667,0.052
31.4667,0.026
31.6667,0.026
31.8667,0.039
32.0667,0.013
32.2667,0
32.4667,0
32.6667,0
32.8667,0
33.0667,0
33.2667,0.0065
33.4667,0.078
33.6667,0.1235
33.8667,0.2145
34.0667,0.26
34.2667,0.2665
34.4667,0.2795
34.6667,0.2015
34.8667,0.143
35.0667,0.1365
35.2667,0.143
35.4667,0.1235
35.6667,0.156
35.8667,0.1365
36.0667,0.13
36.2667,0.1235
36.4667,0.1105
36.6667,0.1105
36.8667,0.1365
37.0667,0.13
37.2667,0.1105
37.4667,0.13
37.6667,0.078
37.8667,0
38.0667,0.0195
38.2667,0.0325
38.4667,0.013
38.6667,0.0065
38.8667,0.0195
39.0667,0.0455
39.2667,0.065
39.4667,0.0585
39.6667,0.0845
39.8667,0.0845
40.0667,0.117
40.2667,0.078
40.4667,0.1105
40.6667,0.13
40.8667,0.13
41.0667,0.1105
41.2667,0.143
41.4667,0.1625
41.6667,0.156
41.8667,0.1495
42.0667,0.0845
42.2667,0.078
42.4667,0.0715
42.6667,0.078
42.8667,0.0715
43.0667,0.091
43.2667,0.104
43.4667,0.104
43.6667,0.091
43.8667,0.0975
44.0667,0.091
44.2667,0.091
44.4667,0.0975
44.6667,0.091
44.8667,0.091
45.0667,0.104
45.2667,0.0975
45.4667,0.0975
45.6667,0.0975
45.8667,0.0845
46.0667,0.052
46.2667,0.013
46.4667,0
46.6667,0
46.8667,0
47.0667,0
47.2667,0
47.4667,0
47.6667,0
