frame,queue density
1,0.117614
2,0.131964
3,0.154693
4,0.157513
5,0.160821
6,0.163713
7,0.170548
8,0.224406
9,0.230498
10,0.271196
11,0.273475
12,0.273569
13,0.275254
14,0.252308
15,0.250871
16,0.247259
17,0.249823
18,0.248097
19,0.247894
20,0.242235
21,0.237729
22,0.23842
23,0.241874
24,0.25224
25,0.236861
26,0.254756
27,0.251809
28,0.251222
29,0.253274
30,0.260931
31,0.261305
32,0.259261
33,0.277563
34,0.302239
35,0.353908
36,0.405669
37,0.416774
38,0.472827
39,0.482145
40,0.486235
41,0.48943
42,0.511946
43,0.568302
44,0.585234
45,0.597875
46,0.62024
47,0.601009
48,0.611022
49,0.638717
50,0.674396
51,0.726321
52,0.820182
53,0.819002
54,0.80268
55,0.806099
56,0.802289
57,0.801752
58,0.795987
59,0.808056
60,0.804358
61,0.806568
62,0.79039
63,0.794705
64,0.788617
65,0.78623
66,0.814455
67,0.843014
68,0.836525
69,0.843024
70,0.844174
71,0.841395
72,0.841077
73,0.830578
74,0.841133
75,0.841809
76,0.842414
77,0.820131
78,0.833746
79,0.844821
80,0.858503
81,0.868792
82,0.864002
83,0.860102
84,0.837223
85,0.852197
86,0.850996
87,0.83066
88,0.845942
89,0.818717
90,0.821637
91,0.847691
92,0.850411
93,0.846766
94,0.844844
95,0.842299
96,0.843214
97,0.84973
98,0.842637
99,0.845808
100,0.846747
101,0.823612
102,0.825245
103,0.850357
104,0.847394
105,0.840425
106,0.846534
107,0.837178
108,0.854333
109,0.851509
110,0.831263
111,0.845314
112,0.843941
113,0.849276
114,0.827165
115,0.822302
116,0.836709
117,0.83837
118,0.816024
119,0.826541
120,0.840927
121,0.862511
122,0.87577
123,0.84846
124,0.854312
125,0.843023
126,0.868764
127,0.803041
128,0.791592
129,0.790991
130,0.710437
131,0.640168
132,0.66013
133,0.68611
134,0.785445
135,0.711991
136,0.697529
137,0.643704
138,0.639685
139,0.588047
140,0.616059
141,0.655481
142,0.672731
143,0.633288
144,0.557203
145,0.454007
146,0.371991
147,0.335777
148,0.380969
149,0.326578
150,0.308291
151,0.312046
152,0.291283
153,0.274521
154,0.189736
155,0.184542
156,0.223472
157,0.277569
158,0.267836
159,0.332872
160,0.292724
161,0.279692
162,0.168932
163,0.0395189
164,0
165,0
166,0
167,0.0610741
168,0.217099
169,0.303437
170,0.290513
171,0.145122
172,0.0415638
173,0
174,0
175,0.0134295
176,0.110964
177,0.242983
178,0.296119
179,0.260655
180,0.250332
181,0.188539
182,0.0827185
183,0.0155996
184,0
185,0
186,0
187,0
188,0
189,0.0274643
190,0.0792763
191,0.104255
192,0.119538
193,0.0645598
194,0.0439788
195,0.0226694
196,0.0107972
197,0.0146285
198,0.0166215
199,0.0646594
200,0.0991831
201,0.0681939
202,0
203,0.0380305
204,0.0627512
205,0.0522678
206,0
207,0.0157565
208,0.0232027
209,0.0265007
210,0.0783042
211,0.104467
212,0.0985968
213,0
214,0
215,0
216,0
217,0
218,0
219,0.0327522
220,0.0904584
221,0.201395
222,0.190461
223,0.185987
224,0.11834
225,0.0678451
226,0.0556008
227,0.0751302
228,0.0986954
229,0.11076
230,0.13475
231,0.159333
232,0.165395
233,0.158775
234,0.166259
235,0.16775
236,0.174097
237,0.178139
238,0.182303
239,0.187193
240,0.185748
241,0.194446
242,0.1905
243,0.182368
244,0.171464
245,0.184131
246,0.228446
247,0.284234
248,0.342408
249,0.393197
250,0.455128
251,0.516146
252,0.593064
253,0.639197
254,0.610153
255,0.621822
256,0.696954
257,0.752024
258,0.788092
259,0.799092
260,0.734856
261,0.730993
262,0.743565
263,0.811929
264,0.809592
265,0.810021
266,0.839906
267,0.840619
268,0.842123
269,0.848629
270,0.846323
271,0.84925
272,0.849228
273,0.850592
274,0.835608
275,0.877015
276,0.834894
277,0.839274
278,0.857571
279,0.86045
280,0.849869
281,0.845241
282,0.842835
283,0.835609
284,0.878696
285,0.87241
286,0.879182
287,0.816556
288,0.818424
289,0.849501
290,0.844029
291,0.857186
292,0.857777
293,0.84402
294,0.8454
295,0.842301
296,0.847297
297,0.881839
298,0.85026
299,0.867506
300,0.844717
301,0.834873
302,0.850784
303,0.855147
304,0.829848
305,0.843977
306,0.81166
307,0.818184
308,0.838226
309,0.817263
310,0.838898
311,0.839276
312,0.84041
313,0.839549
314,0.840728
315,0.838409
316,0.840381
317,0.877267
318,0.820466
319,0.836888
320,0.848613
321,0.845176
322,0.848566
323,0.83101
324,0.836088
325,0.8473
326,0.847293
327,0.845839
328,0.847688
329,0.842328
330,0.84551
331,0.841617
332,0.841894
333,0.841253
334,0.841552
335,0.842369
336,0.843927
337,0.841816
338,0.842765
339,0.843568
340,0.845333
341,0.845918
342,0.845583
343,0.847764
344,0.846656
345,0.849958
346,0.892949
347,0.903758
348,0.925447
349,0.930991
350,0.913794
351,0.96512
352,0.96298
353,0.88615
354,0.726739
355,0.734522
356,0.730087
357,0.669751
358,0.650817
359,0.736552
360,0.69482
361,0.649314
362,0.613509
363,0.593454
364,0.589821
365,0.540321
366,0.492274
367,0.43875
368,0.452483
369,0.458637
370,0.480199
371,0.460859
372,0.437044
373,0.435414
374,0.406053
375,0.484594
376,0.607928
377,0.650071
378,0.687384
379,0.571359
380,0.610914
381,0.522567
382,0.517496
383,0.501863
384,0.474246
385,0.363205
386,0.368729
387,0.435091
388,0.401941
389,0.334543
390,0.276449
391,0.295613
392,0.277368
393,0.386291
394,0.400186
395,0.348188
396,0.282784
397,0.171421
398,0.0613657
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0.0389136
411,0.118376
412,0.13901
413,0.088865
414,0.0492751
415,0.116333
416,0.14896
417,0.0980297
418,0.0159081
419,0.014691
420,0.0221786
421,0.0573627
422,0.145267
423,0.20678
424,0.129857
425,0.0699208
426,0.0423441
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0.064458
440,0.0800025
441,0.125388
442,0.184835
443,0.196942
444,0.194412
445,0.240754
446,0.268238
447,0.297608
448,0.333095
449,0.334147
450,0.362723
451,0.379362
452,0.426016
453,0.46266
454,0.503755
455,0.503409
456,0.470135
457,0.503641
458,0.57131
459,0.626595
460,0.646106
461,0.711036
462,0.756533
463,0.781837
464,0.837999
465,0.850017
466,0.897967
467,0.879189
468,0.8904
469,0.882206
470,0.882035
471,0.869585
472,0.876863
473,0.878291
474,0.887701
475,0.871577
476,0.877858
477,0.885183
478,0.887545
