frame,dynamic density
0.0666667,0.504
0.266667,0.63
0.466667,0.658
0.666667,0.63
0.866667,0.343
1.06667,0.273
1.26667,0.287
1.46667,0.322
1.66667,0.336
1.86667,0.406
2.06667,0.357
2.26667,0.378
2.46667,0.406
2.66667,0.392
2.86667,0.427
3.06667,0.413
3.26667,0.392
3.46667,0.413
3.66667,0.35
3.86667,0.336
4.06667,0.287
4.26667,0.119
4.46667,0.084
4.66667,0.119
4.86667,0.119
5.06667,0.147
5.26667,0.161
5.46667,0.28
5.66667,0.315
5.86667,0.322
6.06667,0.385
6.26667,0.42
6.46667,0.378
6.66667,0.315
6.86667,0.315
7.06667,0.371
7.26667,0.35
7.46667,0.357
7.66667,0.378
7.86667,0.378
8.06667,0.385
8.26667,0.392
8.46667,0.441
8.66667,0.434
8.86667,0.448
9.06667,0.434
9.26667,0.441
9.46667,0.336
9.66667,0.315
9.86667,0.343
10.0667,0.343
10.2667,0.329
10.4667,0.301
10.6667,0.336
10.8667,0.385
11.0667,0.231
11.2667,0.322
11.4667,0.252
11.6667,0.301
11.8667,0.245
12.0667,0.217
12.2667,0.231
12.4667,0.035
12.6667,0.014
12.8667,0.014
13.0667,0.035
13.2667,0.035
13.4667,0.021
13.6667,0.035
13.8667,0.042
14.0667,0.014
14.2667,0.021
14.4667,0
14.6667,0.028
14.8667,0.014
15.0667,0.014
15.2667,0.014
15.4667,0.028
15.6667,0.042
15.8667,0.056
16.0667,0.021
16.2667,0.014
16.4667,0.014
16.6667,0
16.8667,0
17.0667,0
17.2667,0.007
17.4667,0.014
17.6667,0.007
17.8667,0
18.0667,0
18.2667,0.021
18.4667,0.014
18.6667,0.07
18.8667,0.077
19.0667,0.084
19.2667,0.07
19.4667,0.035
19.6667,0.07
19.8667,0
20.0667,0
20.2667,0.007
20.4667,0.028
20.6667,0.014
20.8667,0.035
21.0667,0.014
21.2667,0.049
21.4667,0.063
21.6667,0.049
21.8667,0.035
22.0667,0.035
22.2667,0.035
22.4667,0.049
22.6667,0.056
22.8667,0.063
23.0667,0.147
23.2667,0.154
23.4667,0.175
23.6667,0.196
23.8667,0.175
24.0667,0.168
24.2667,0.175
24.4667,0.154
24.6667,0.14
24.8667,0.175
25.0667,0.168
25.2667,0.161
25.4667,0.189
25.6667,0.245
25.8667,0.259
26.0667,0.252
26.2667,0.266
26.4667,0.259
26.6667,0.224
26.8667,0.126
27.0667,0.112
27.2667,0.14
27.4667,0.147
27.6667,0.154
27.8667,0.182
28.0667,0.21
28.2667,0.196
28.4667,0.224
28.6667,0.21
28.8667,0.252
29.0667,0.231
29.2667,0.252
29.4667,0.252
29.6667,0.238
29.8667,0.175
30.0667,0.161
30.2667,0.189
30.4667,0.189
30.6667,0.203
30.8667,0.203
31.0667,0.154
31.2667,0.175
31.4667,0.175
31.6667,0.161
31.8667,0.133
32.0667,0.126
32.2667,0.112
32.4667,0.014
32.6667,0
32.8667,0
33.0667,0
33.2667,0.021
33.4667,0.182
33.6667,0.238
33.8667,0.287
34.0667,0.357
34.2667,0.35
34.4667,0.35
34.6667,0.413
34.8667,0.406
35.0667,0.322
35.2667,0.168
35.4667,0.175
35.6667,0.21
35.8667,0.161
36.0667,0.14
36.2667,0.147
36.4667,0.119
36.6667,0.133
36.8667,0.119
37.0667,0.119
37.2667,0.112
37.4667,0.133
37.6667,0.105
37.8667,0
38.0667,0.035
38.2667,0.028
38.4667,0.021
38.6667,0.021
38.8667,0.021
39.0667,0.049
39.2667,0.077
39.4667,0.084
39.6667,0.112
39.8667,0.105
40.0667,0.161
40.2667,0.168
40.4667,0.161
40.6667,0.182
40.8667,0.203
41.0667,0.168
41.2667,0.168
41.4667,0.224
41.6667,0.217
41.8667,0.203
42.0667,0.203
42.2667,0.098
42.4667,0.091
42.6667,0.105
42.8667,0.077
43.0667,0.119
43.2667,0.119
43.4667,0.098
43.6667,0.091
43.8667,0.091
44.0667,0.098
44.2667,0.098
44.4667,0.098
44.6667,0.105
44.8667,0.105
45.0667,0.105
45.2667,0.133
45.4667,0.112
45.6667,0.105
45.8667,0.105
46.0667,0.105
46.2667,0.112
46.4667,0.098
46.6667,0.07
46.8667,0.049
47.0667,0.007
47.2667,0
47.4667,0
47.6667,0
47.8667,0
48.0667,0
48.2667,0
48.4667,0
48.6667,0
48.8667,0
49.0667,0
49.2667,0
49.4667,0
49.6667,0
49.8667,0
50.0667,0
50.2667,0
50.4667,0
50.6667,0
50.8667,0
51.0667,0
51.2667,0
51.4667,0
51.6667,0
51.8667,0
52.0667,0
52.2667,0
52.4667,0
52.6667,0.014
52.8667,0.021
53.0667,0.035
53.2667,0.049
53.4667,0.07
53.6667,0.098
53.8667,0.105
54.0667,0.105
54.2667,0.119
54.4667,0
54.6667,0
54.8667,0
55.0667,0
55.2667,0
55.4667,0
55.6667,0
55.8667,0
56.0667,0
56.2667,0
56.4667,0
56.6667,0
56.8667,0
57.0667,0
57.2667,0
57.4667,0
57.6667,0
57.8667,0
58.0667,0
58.2667,0.007
58.4667,0.007
58.6667,0
58.8667,0
59.0667,0
59.2667,0
59.4667,0
59.6667,0.007
59.8667,0
60.0667,0
60.2667,0
60.4667,0
60.6667,0
60.8667,0
61.0667,0
61.2667,0
61.4667,0
61.6667,0
61.8667,0
62.0667,0
62.2667,0
62.4667,0
62.6667,0
62.8667,0.007
63.0667,0
63.2667,0
63.4667,0
63.6667,0
63.8667,0
64.0667,0
64.2667,0
64.4667,0
64.6667,0
64.8667,0
65.0667,0
65.2667,0
65.4667,0
65.6667,0
65.8667,0
66.0667,0
66.2667,0
66.4667,0.014
66.6667,0.014
66.8667,0
67.0667,0
67.2667,0
67.4667,0
67.6667,0.007
67.8667,0
68.0667,0
68.2667,0
68.4667,0
68.6667,0
68.8667,0
69.0667,0
69.2667,0
69.4667,0.042
69.6667,0
69.8667,0.021
70.0667,0.014
70.2667,0.014
70.4667,0
70.6667,0.021
70.8667,0.021
71.0667,0.007
71.2667,0.007
71.4667,0.007
71.6667,0.021
71.8667,0.007
72.0667,0
72.2667,0.021
72.4667,0.014
72.6667,0.021
72.8667,0.021
73.0667,0.028
73.2667,0.021
73.4667,0.014
73.6667,0.014
73.8667,0.007
74.0667,0.028
74.2667,0.014
74.4667,0.007
74.6667,0.014
74.8667,0.007
75.0667,0.021
75.2667,0.035
75.4667,0.035
75.6667,0.014
75.8667,0.007
76.0667,0.028
76.2667,0.035
76.4667,0.042
76.6667,0.028
76.8667,0.028
77.0667,0.028
77.2667,0.028
77.4667,0.049
77.6667,0.028
77.8667,0.021
78.0667,0.035
78.2667,0.056
78.4667,0.035
78.6667,0.035
78.8667,0.035
79.0667,0.056
79.2667,0.014
79.4667,0.035
79.6667,0.021
79.8667,0.007
80.0667,0
80.2667,0.007
80.4667,0.007
80.6667,0
80.8667,0
81.0667,0
81.2667,0
81.4667,0
81.6667,0.014
81.8667,0
82.0667,0.007
82.2667,0
82.4667,0
82.6667,0
82.8667,0.007
83.0667,0.014
83.2667,0.014
83.4667,0.007
83.6667,0.014
83.8667,0.021
84.0667,0.007
84.2667,0.021
84.4667,0.014
84.6667,0.014
84.8667,0.014
85.0667,0.014
85.2667,0.007
85.4667,0.014
85.6667,0.007
85.8667,0.028
86.0667,0.021
86.2667,0.014
86.4667,0.021
86.6667,0.014
86.8667,0.007
87.0667,0.007
87.2667,0.007
87.4667,0.007
87.6667,0.014
87.8667,0
88.0667,0.007
88.2667,0.021
88.4667,0
88.6667,0.014
88.8667,0
89.0667,0
89.2667,0
89.4667,0
89.6667,0
89.8667,0
90.0667,0
90.2667,0
90.4667,0
90.6667,0.007
90.8667,0.014
91.0667,0.035
91.2667,0.028
91.4667,0.021
91.6667,0
91.8667,0.014
92.0667,0
92.2667,0.014
92.4667,0
92.6667,0
92.8667,0
93.0667,0
93.2667,0
93.4667,0
93.6667,0
93.8667,0
94.0667,0
94.2667,0
94.4667,0
94.6667,0
94.8667,0
95.0667,0.007
95.2667,0.035
95.4667,0.049
95.6667,0.049
95.8667,0.105
96.0667,0.091
96.2667,0.105
96.4667,0.126
96.6667,0.133
96.8667,0.133
97.0667,0.133
97.2667,0.168
97.4667,0.133
97.6667,0.105
97.8667,0.308
98.0667,0.308
98.2667,0.308
98.4667,0.336
98.6667,0.294
98.8667,0.266
99.0667,0.273
99.2667,0.28
99.4667,0.28
99.6667,0.469
99.8667,0.483
100.067,0.469
100.267,0.441
100.467,0.462
100.667,0.462
100.867,0.441
101.067,0.469
101.267,0.448
101.467,0.455
101.667,0.455
101.867,0.476
102.067,0.483
102.267,0.49
102.467,0.483
102.667,0.462
102.867,0.483
103.067,0.462
103.267,0.693
103.467,0.7
103.667,0.7
103.867,0.693
104.067,0.7
104.267,0.7
104.467,0.665
104.667,0.686
104.867,0.693
105.067,0.679
105.267,0.686
105.467,0.686
105.667,0.686
105.867,0.693
106.067,0.686
106.267,0.679
106.467,0.693
106.667,0.679
106.867,0.658
107.067,0.665
107.267,0.686
107.467,0.693
107.667,0.693
107.867,0.693
108.067,0.686
108.267,0.693
108.467,0.679
108.667,0.693
108.867,0.693
109.067,0.7
109.267,0.686
109.467,0.7
109.667,0.665
109.867,0.7
110.067,0.658
110.267,0.686
110.467,0.693
110.667,0.7
110.867,0.7
111.067,0.686
111.267,0.672
111.467,0.672
111.667,0.686
111.867,0.693
112.067,0.693
112.267,0.686
112.467,0.679
112.667,0.665
112.867,0.658
113.067,0.672
113.267,0.658
113.467,0.665
113.667,0.672
113.867,0.686
114.067,0.7
