time(in secs),queue density,dynamic density
0,0.0841857,0.0864766
0,0.102459,0.11894
0,0.112936,0.0957833
0,0.117614,0.101635
1,0.121672,0.0470118
1,0.125217,0.067068
1,0.128511,0.0523632
1,0.131964,0.0566312
1,0.133507,0.0532516
2,0.136603,0.0686995
2,0.149496,0.102159
2,0.154693,0.0905728
2,0.154447,0.0868805
2,0.155489,0.079342
3,0.155575,0.086114
3,0.157513,0.0741453
3,0.160755,0.0559103
3,0.162282,0.0658266
3,0.159972,0.047299
4,0.160821,0.0483528
4,0.161581,0.0501041
4,0.162579,0.021744
4,0.162874,0.0216019
4,0.163713,0.0188297
5,0.165001,0.0216274
5,0.166421,0.024884
5,0.168451,0.0251607
5,0.170548,0.0416624
5,0.203297,0.0451057
6,0.217526,0.0698381
6,0.221691,0.0551926
6,0.224406,0.0564828
6,0.231097,0.0539576
6,0.233552,0.0480454
7,0.233321,0.0899569
7,0.230498,0.0768889
7,0.250958,0.067508
7,0.262014,0.0861013
7,0.269603,0.113929
8,0.271196,0.113063
8,0.268919,0.110768
8,0.269944,0.111536
8,0.272165,0.100941
8,0.273475,0.0992075
9,0.275525,0.111576
9,0.277561,0.128012
9,0.279703,0.128809
9,0.273569,0.106225
9,0.280033,0.0700183
10,0.279631,0.0685363
10,0.277304,0.072058
10,0.275254,0.0740181
10,0.270787,0.0520706
10,0.256612,0.0732866
11,0.253278,0.0796388
11,0.252308,0.0586921
11,0.24751,0.0781027
11,0.246888,0.0583952
11,0.241002,0.0507359
12,0.250871,0.0468697
12,0.251618,0.0480623
12,0.248562,0.0669694
12,0.245113,0.06511
12,0.247259,0.0526251
13,0.249116,0.0446265
13,0.250364,0.0163395
13,0.252346,0.0177018
13,0.249823,0.0270509
13,0.248553,0.0173116
14,0.24875,0.0174463
14,0.249228,0
14,0.248097,0
14,0.243164,0.0217365
14,0.247146,0.0189909
15,0.247277,0.0176657
15,0.247894,0.0174113
15,0.247754,0.0200276
15,0.249089,0.0169374
15,0.247551,0.0151946
16,0.242235,0
16,0.24494,0
16,0.243216,0.0152677
16,0.237499,0
16,0.237729,0
17,0.237702,0
17,0.237729,0
17,0.23792,0
17,0.23842,0
17,0.238508,0
18,0.236949,0
18,0.242315,0
18,0.241874,0
18,0.238386,0
18,0.252272,0
19,0.255221,0.0171431
19,0.25224,0
19,0.23703,0
19,0.235907,0
19,0.236674,0
20,0.236861,0
20,0.237009,0
20,0.238224,0
20,0.250942,0
20,0.254756,0.0165992
21,0.256837,0.0157087
21,0.254601,0.0157586
21,0.248327,0
21,0.251809,0
21,0.251516,0.0148819
22,0.252432,0
22,0.251845,0.0148744
22,0.251222,0
22,0.254322,0.0176551
22,0.254535,0.0171229
23,0.254098,0
23,0.253274,0.0190258
23,0.262807,0.0197234
23,0.259715,0.0220853
23,0.262139,0.0213369
24,0.260931,0.0218309
24,0.260426,0.0217874
24,0.260917,0.0213093
24,0.260516,0.0196142
24,0.261305,0.0190905
25,0.261928,0.0189166
25,0.262574,0.01894
25,0.26271,0.0173975
25,0.259261,0.0154109
25,0.269125,0.0187958
26,0.271829,0.0449223
26,0.276452,0.0335017
26,0.277563,0.0369714
26,0.279552,0.0384164
26,0.28033,0.0408154
27,0.282985,0.0414578
27,0.302239,0.058197
27,0.318284,0.073135
27,0.335626,0.0883445
27,0.3497,0.104007
28,0.353908,0.128226
28,0.367966,0.142774
28,0.381333,0.158364
28,0.393975,0.166691
28,0.405669,0.182058
29,0.416743,0.192571
29,0.423147,0.202447
29,0.425966,0.211282
29,0.416774,0.223298
29,0.429564,0.228869
30,0.439611,0.236245
30,0.464832,0.241825
30,0.472827,0.244191
30,0.468133,0.245122
30,0.473728,0.244852
31,0.484964,0.240726
31,0.482145,0.243037
31,0.475667,0.240389
31,0.479539,0.246805
31,0.48269,0.242003
32,0.486235,0.239529
32,0.486228,0.243062
32,0.486618,0.223076
32,0.486832,0.238364
32,0.48943,0.239007
33,0.483992,0.215524
33,0.482546,0.148246
33,0.498929,0.0152137
33,0.511946,0.0306267
33,0.525154,0.0416327
34,0.54838,0.0538717
34,0.559413,0.0584949
34,0.568302,0.0792837
34,0.575736,0.0660705
34,0.578464,0.0689624
35,0.584055,0.0738527
35,0.585234,0.0784377
35,0.588182,0.102284
35,0.627524,0.0814156
35,0.593968,0.0787102
36,0.597875,0.0817082
36,0.606679,0.082711
36,0.60723,0.090294
36,0.617457,0.0893431
36,0.62024,0.0849553
37,0.618515,0.0856052
37,0.616909,0.0794798
37,0.602201,0.126161
37,0.601009,0.310066
37,0.598507,0.295228
38,0.586332,0.027828
38,0.603742,0
38,0.611022,0.0180834
38,0.618348,0.0191255
38,0.629244,0.0514186
39,0.638086,0.0435749
39,0.638717,0.0678578
39,0.652251,0.0587907
39,0.653611,0.0618152
39,0.659,0.0623261
40,0.674396,0.063911
40,0.68307,0.0810658
40,0.700066,0.0825001
40,0.717982,0.0839503
40,0.726321,0.0891184
41,0.734108,0.11773
41,0.739931,0.123828
41,0.753394,0.136375
41,0.820182,0.0824354
41,0.820383,0.0988809
42,0.821687,0.121936
42,0.821457,0.0873512
42,0.819002,0.106592
42,0.815848,0.108261
42,0.811808,0.0585829
43,0.804358,0.0567892
43,0.80268,0.0563238
43,0.801123,0.0577899
43,0.797109,0.0577899
43,0.807044,0.0588893
44,0.806099,0.0749701
44,0.805573,0.0778897
44,0.804372,0.080505
44,0.802185,0.0846224
44,0.802289,0.0859168
45,0.801202,0.0888904
45,0.800851,0.0921747
45,0.80906,0.093556
45,0.801752,0.0972823
45,0.802707,0.0976014
46,0.801818,0.101478
46,0.801993,0.102509
46,0.795987,0.122232
46,0.798129,0.1239
46,0.808154,0.103414
47,0.808235,0.104704
47,0.808056,0.105241
47,0.80834,0.119052
47,0.808706,0.061812
47,0.809469,0.064634
48,0.804358,0.102593
48,0.805443,0.0572122
48,0.805749,0.103254
48,0.806287,0.0998266
48,0.806568,0.0707805
49,0.808117,0.0665878
49,0.801382,0
49,0.801268,0
49,0.79039,0.060965
49,0.792927,0
50,0.79379,0.0163745
50,0.79416,0
50,0.794705,0
50,0.801431,0.0371092
50,0.789303,0.0208037
51,0.778388,0
51,0.788617,0
51,0.768743,0
51,0.76934,0.0235228
51,0.776768,0
52,0.78623,0.0185127
52,0.797832,0
52,0.797939,0
52,0.798216,0
52,0.814455,0
53,0.824694,0.0176064
53,0.826482,0.0212129
53,0.824773,0.0313645
53,0.843014,0.0343455
53,0.844044,0.0374951
54,0.84473,0.0417589
54,0.835097,0.0638697
54,0.836525,0.0662093
54,0.835325,0.0731372
54,0.841052,0.0206139
55,0.842314,0.0419402
55,0.843024,0.045676
55,0.844806,0.0245352
55,0.844096,0.0223525
55,0.843963,0.0287481
56,0.844174,0.0215807
56,0.844178,0.0180516
56,0.842809,0.0469026
56,0.842741,0.0169554
56,0.841395,0.020369
57,0.842151,0.0220005
57,0.840905,0.0177951
57,0.840832,0.0174049
57,0.841077,0.0418914
57,0.840552,0.0312553
58,0.829379,0.0288022
58,0.840886,0.0203298
58,0.830578,0.029593
58,0.84005,0.0208832
58,0.841004,0
59,0.825983,0.0179191
59,0.841133,0.0154575
59,0.84151,0.016966
59,0.841931,0.0161657
59,0.841727,0.0229483
60,0.841809,0.0170996
60,0.842055,0.0219836
60,0.841331,0.0594744
60,0.842161,0.0163544
60,0.842414,0.0148819
61,0.842267,0.0149084
61,0.820823,0
61,0.820061,0
61,0.820131,0
61,0.820215,0
62,0.822766,0
62,0.823918,0.015836
62,0.833746,0
62,0.833674,0.0162261
62,0.836583,0.0209701
63,0.844046,0.0275778
63,0.844821,0.0272322
63,0.844861,0.0228539
63,0.857461,0.0309214
63,0.858509,0.023102
64,0.858503,0.0192198
64,0.865692,0.0267413
64,0.866286,0.0212733
64,0.867349,0.0163363
64,0.868792,0.0156006
65,0.868133,0.0180293
65,0.863517,0
65,0.864522,0.0187184
65,0.864002,0
65,0.863503,0
66,0.863894,0
66,0.863966,0
66,0.860102,0
66,0.860927,0
66,0.861179,0.0163978
67,0.836431,0.0402938
67,0.837223,0.0155625
67,0.856087,0.027265
67,0.855626,0.0254862
67,0.852729,0.0295602
68,0.852197,0.0273202
68,0.85276,0.0254597
68,0.851987,0.0281672
68,0.851984,0.0255159
68,0.850996,0.0306669
69,0.821772,0.0406267
69,0.831629,0.0380729
69,0.831055,0.0246434
69,0.83066,0.025131
69,0.831458,0.023543
70,0.847386,0.0394129
70,0.846687,0.0198432
70,0.845942,0.0348544
70,0.845247,0.019293
70,0.819219,0.0219168
71,0.819123,0.0272502
71,0.818717,0.0218383
71,0.818694,0.0288849
71,0.820062,0.0190937
71,0.820379,0.0178417
72,0.821637,0.0173159
72,0.82193,0.0178406
72,0.845525,0.0219465
72,0.846347,0.0178671
72,0.847691,0.0207114
73,0.848752,0.0163014
73,0.849812,0.0186643
73,0.850644,0.019981
73,0.850411,0.0180134
73,0.851443,0.0185986
74,0.849114,0.0204209
74,0.847204,0.0213199
74,0.846766,0.0213475
74,0.844708,0.0222783
74,0.845627,0.0208143
75,0.84455,0.0203658
75,0.844844,0.0215245
75,0.844042,0.024654
75,0.843418,0.0265039
75,0.841848,0.028041
76,0.842299,0.022838
76,0.842549,0.0196714
76,0.843056,0
76,0.843528,0.0172152
76,0.843214,0.021392
77,0.842644,0.0248437
77,0.843118,0.0222878
77,0.834734,0.0251268
77,0.84973,0.0224235
77,0.842612,0.0216125
78,0.841609,0.0209192
78,0.842594,0.0227627
78,0.842637,0.0220578
78,0.843603,0.0242713
78,0.842949,0.0264859
79,0.842868,0.0250717
79,0.845808,0.0274368
79,0.846179,0.0233924
79,0.846163,0.0195538
79,0.846716,0.0193418
80,0.846747,0.0160787
80,0.847181,0
80,0.84717,0
80,0.847547,0
80,0.823612,0.0571072
81,0.824186,0
81,0.824864,0
81,0.825308,0
81,0.825245,0
81,0.825838,0
82,0.827373,0
82,0.828878,0
82,0.850357,0.0182361
82,0.852214,0
82,0.852478,0.0191276
83,0.849968,0
83,0.847394,0.0174887
83,0.844653,0.0164423
83,0.84535,0.0179286
83,0.845585,0
84,0.840425,0.0168091
84,0.838313,0
84,0.842435,0
84,0.84331,0
84,0.846534,0
85,0.84901,0
85,0.846207,0.0168399
85,0.839537,0.0238589
85,0.837178,0.0182424
85,0.84128,0.021127
86,0.848358,0.0182594
86,0.851787,0
86,0.854333,0.0217556
86,0.854223,0.0223005
86,0.854483,0.0166257
87,0.852552,0
87,0.851509,0
87,0.849607,0.0154946
87,0.830491,0
87,0.831369,0
88,0.831263,0
88,0.823099,0
88,0.821051,0
88,0.845539,0
88,0.845314,0
89,0.836092,0.0279912
89,0.829708,0.0352784
89,0.830824,0.0361138
89,0.843941,0.0370382
89,0.844741,0.0340837
90,0.846126,0.0300881
90,0.847441,0.034424
90,0.849276,0.0334646
90,0.850048,0.0346689
90,0.828174,0.0378492
91,0.827822,0
91,0.827165,0.0298538
91,0.826704,0.0181173
91,0.823874,0.0167604
91,0.822979,0.0177124
92,0.822302,0.0178035
92,0.82158,0.0181947
92,0.836585,0.0164582
92,0.837351,0
92,0.836709,0
93,0.840364,0
93,0.835511,0
93,0.835104,0
93,0.83837,0
93,0.838126,0
94,0.81874,0
94,0.812016,0
94,0.816024,0.0185626
94,0.81126,0.044988
94,0.818932,0.0808399
95,0.809948,0.0556421
95,0.826541,0.0752659
95,0.825595,0.150502
95,0.819837,0.140667
95,0.832258,0.123982
96,0.840927,0.160221
96,0.843975,0.216348
96,0.853714,0.312208
96,0.858461,0.20617
96,0.862511,0.27334
97,0.871946,0.0746722
97,0.86991,0.0453771
97,0.872362,0.300369
97,0.87577,0.0849203
97,0.879651,0.26962
98,0.870574,0.279343
98,0.848624,0.288936
98,0.84846,0.323034
98,0.847118,0.416725
98,0.86391,0.379683
99,0.844498,0.402896
99,0.854312,0.459768
99,0.857768,0.389401
99,0.869904,0.373484
99,0.856647,0.395454
100,0.843023,0.513109
100,0.845625,0.625204
100,0.853784,0.528803
100,0.860413,0.545707
100,0.868764,0.558585
101,0.806264,0.596468
101,0.803017,0.567403
101,0.770121,0.581832
101,0.803041,0.524509
101,0.80886,0.5568
102,0.798847,0.554353
102,0.778836,0.561855
102,0.791592,0.559144
102,0.780923,0.539152
102,0.813838,0.562183
103,0.768458,0.545322
103,0.790991,0.551014
103,0.730059,0.561493
103,0.725534,0.605488
103,0.726542,0.582373
104,0.710437,0.598284
104,0.681816,0.575213
104,0.681945,0.587496
104,0.653798,0.582557
104,0.640168,0.590512
105,0.647742,0.584143
105,0.651854,0.61825
105,0.652975,0.605079
105,0.66013,0.591717
105,0.655745,0.604488
106,0.668874,0.604953
106,0.791014,0.618414
106,0.68611,0.610622
106,0.785374,0.620352
106,0.79122,0.611771
