frame,queue density
1,0.0918376
2,0.0956603
3,0.102459
4,0.114845
5,0.1155
6,0.117614
7,0.123444
8,0.1242
9,0.125217
10,0.129887
11,0.130367
12,0.131964
13,0.134917
14,0.135571
15,0.136603
16,0.150579
17,0.151393
18,0.154693
19,0.154562
20,0.154215
21,0.155489
22,0.156008
23,0.157216
24,0.157513
25,0.161754
26,0.161882
27,0.162282
28,0.160087
29,0.16064
30,0.160821
31,0.161705
32,0.161987
33,0.162579
34,0.16304
35,0.163492
36,0.163713
37,0.165762
38,0.165776
39,0.166421
40,0.169338
41,0.169739
42,0.170548
43,0.209115
44,0.211659
45,0.217526
46,0.221094
47,0.222417
48,0.224406
49,0.231087
50,0.232382
51,0.233552
52,0.23279
53,0.232032
54,0.230498
55,0.255379
56,0.256308
57,0.262014
58,0.270317
59,0.26934
60,0.271196
61,0.268899
62,0.269644
63,0.269944
64,0.272507
65,0.273073
66,0.273475
67,0.276437
68,0.277343
69,0.277561
70,0.280979
71,0.280963
72,0.273569
73,0.280172
74,0.280222
75,0.279631
76,0.275581
77,0.276528
78,0.275254
79,0.25863
80,0.257831
81,0.256612
82,0.253038
83,0.253415
84,0.252308
85,0.246951
86,0.247332
87,0.246888
88,0.245428
89,0.246546
90,0.250871
91,0.250308
92,0.249736
93,0.248562
94,0.247693
95,0.243665
96,0.247259
97,0.249673
98,0.249641
99,0.250364
100,0.249748
101,0.249874
102,0.249823
103,0.248659
104,0.248854
105,0.24875
106,0.249032
107,0.248728
108,0.248097
109,0.247193
110,0.247368
111,0.247146
112,0.247436
113,0.247511
114,0.247894
115,0.248363
116,0.248537
117,0.249089
118,0.245467
119,0.243952
120,0.242235
121,0.241326
122,0.242181
123,0.243216
124,0.237562
125,0.237775
126,0.237729
127,0.237727
128,0.237638
129,0.237729
130,0.237918
131,0.237986
132,0.23842
133,0.244347
134,0.236874
135,0.236949
136,0.24408
137,0.243199
138,0.241874
139,0.249989
140,0.25103
141,0.252272
142,0.254173
143,0.253663
144,0.25224
145,0.236984
146,0.23702
147,0.235907
148,0.236302
149,0.236524
150,0.236861
151,0.237299
152,0.237813
153,0.238224
154,0.25152
155,0.252723
156,0.254756
157,0.25702
158,0.255748
159,0.254601
160,0.251714
161,0.251576
162,0.251809
163,0.251894
164,0.251985
165,0.252432
166,0.251662
167,0.251468
168,0.251222
169,0.254711
170,0.25492
171,0.254535
172,0.254637
173,0.254875
174,0.253274
175,0.258961
176,0.259645
177,0.259715
178,0.26143
179,0.261536
180,0.260931
181,0.26098
182,0.260973
183,0.260917
184,0.2609
185,0.260917
186,0.261305
187,0.260452
188,0.262901
189,0.262574
190,0.262257
191,0.259564
192,0.259261
193,0.270786
194,0.27136
195,0.271829
196,0.27694
197,0.276957
198,0.277563
199,0.280625
200,0.280889
201,0.28033
202,0.284089
203,0.297712
204,0.302239
205,0.324848
206,0.328907
207,0.335626
208,0.352971
209,0.348209
210,0.353908
211,0.374099
212,0.376152
213,0.381333
214,0.398177
215,0.400188
216,0.405669
217,0.418969
218,0.419835
219,0.423147
220,0.426747
221,0.427941
222,0.416774
223,0.43246
224,0.435918
225,0.439611
226,0.465856
227,0.447589
228,0.472827
229,0.479776
230,0.481908
231,0.473728
232,0.475657
233,0.470725
234,0.482145
235,0.466815
236,0.466278
237,0.479539
238,0.483059
239,0.485323
240,0.486235
241,0.487851
242,0.486601
243,0.486618
244,0.487163
245,0.488356
246,0.48943
247,0.48416
248,0.472885
249,0.482546
250,0.504296
251,0.506842
252,0.511946
253,0.530022
254,0.532093
255,0.54838
256,0.562994
257,0.564275
258,0.568302
259,0.578551
260,0.580674
261,0.578464
262,0.584368
263,0.584981
264,0.585234
265,0.630812
266,0.629954
267,0.627524
268,0.595847
269,0.596423
270,0.597875
271,0.607042
272,0.607922
273,0.60723
274,0.621248
275,0.621172
276,0.62024
277,0.617097
278,0.616625
279,0.616909
280,0.60141
281,0.602188
282,0.601009
283,0.597835
284,0.586566
285,0.586332
286,0.606849
287,0.608239
288,0.611022
289,0.624179
290,0.626191
291,0.629244
292,0.640816
293,0.656044
294,0.638717
295,0.652743
296,0.653175
297,0.653611
298,0.667884
299,0.670273
300,0.674396
301,0.686664
