frame,queue density
1,0.081353
2,0.0994015
3,0.11008
4,0.114888
5,0.11882
6,0.122404
7,0.125214
8,0.128281
9,0.130253
10,0.132887
11,0.145799
12,0.151041
13,0.150776
14,0.151739
15,0.152483
16,0.15425
17,0.15733
18,0.161976
19,0.155962
20,0.156651
21,0.161276
22,0.162261
23,0.16197
24,0.162923
25,0.16434
26,0.166122
27,0.167738
28,0.170068
29,0.202839
30,0.217077
31,0.221242
32,0.223498
33,0.230198
34,0.23302
35,0.232784
36,0.229961
37,0.250502
38,0.261564
39,0.269159
40,0.270759
41,0.268532
42,0.269569
43,0.271791
44,0.273102
45,0.275142
46,0.277173
47,0.27932
48,0.273239
49,0.279712
50,0.279331
51,0.277039
52,0.27492
53,0.270455
54,0.256261
55,0.252949
56,0.251989
57,0.247104
58,0.246501
59,0.240633
60,0.250525
61,0.251257
62,0.248218
63,0.244777
64,0.246998
65,0.248705
66,0.249986
67,0.251971
68,0.249468
69,0.248176
70,0.248415
71,0.248838
72,0.247373
73,0.242484
74,0.246592
75,0.246651
76,0.247192
77,0.247378
78,0.248747
79,0.247213
80,0.241896
81,0.24458
82,0.242527
83,0.237161
84,0.237381
85,0.237287
86,0.237309
87,0.237507
88,0.238008
89,0.238147
90,0.236541
91,0.24191
92,0.241497
93,0.238002
94,0.251874
95,0.254836
96,0.25185
97,0.236632
98,0.235237
99,0.236227
100,0.236472
101,0.236661
102,0.237871
103,0.250595
104,0.254474
105,0.256392
106,0.254116
107,0.247013
108,0.250691
109,0.251074
110,0.251616
111,0.251388
112,0.251037
113,0.254127
114,0.254339
115,0.253104
116,0.252462
117,0.262045
118,0.258919
119,0.261729
120,0.260506
121,0.260019
122,0.260509
123,0.260112
124,0.260883
125,0.261518
126,0.262163
127,0.262313
128,0.258865
129,0.268727
130,0.271468
131,0.276078
132,0.277174
133,0.279317
134,0.280107
135,0.282761
136,0.302013
137,0.318048
138,0.335388
139,0.349462
140,0.353078
141,0.367168
142,0.3807
143,0.39362
144,0.405333
145,0.416407
146,0.422795
147,0.425643
148,0.415773
149,0.428771
150,0.438856
151,0.464095
152,0.472152
153,0.4677
154,0.473292
155,0.484523
156,0.481751
157,0.474898
158,0.478802
159,0.481961
160,0.485875
161,0.485886
162,0.486298
163,0.486504
164,0.489101
165,0.483473
166,0.48203
167,0.483107
168,0.511206
169,0.52384
170,0.546797
171,0.557522
172,0.566009
173,0.572691
174,0.573273
175,0.581475
176,0.582865
177,0.580925
178,0.584139
179,0.592874
180,0.596816
181,0.605619
182,0.605667
183,0.60916
184,0.619316
185,0.617204
186,0.616074
187,0.601508
188,0.60031
189,0.597842
190,0.585667
191,0.603137
192,0.610417
193,0.617754
194,0.628635
195,0.637505
196,0.638076
197,0.648586
198,0.652153
199,0.658086
200,0.668473
201,0.675494
202,0.690598
203,0.706658
204,0.724885
205,0.732102
206,0.737279
207,0.745544
208,0.755294
209,0.76009
210,0.768677
211,0.772858
212,0.77333
213,0.773027
214,0.770698
215,0.766074
216,0.765844
217,0.76668
218,0.764325
219,0.776392
220,0.77757
221,0.779261
222,0.77957
223,0.774962
224,0.779818
225,0.780754
226,0.781887
227,0.792308
228,0.785728
229,0.787723
230,0.787842
231,0.789011
232,0.785537
233,0.78837
234,0.802099
235,0.802318
236,0.802165
237,0.802235
238,0.80261
239,0.803274
240,0.797986
241,0.798926
242,0.799191
243,0.799618
244,0.79979
245,0.801535
246,0.794839
247,0.794917
248,0.779858
249,0.782455
250,0.787299
251,0.787763
252,0.788302
253,0.795203
254,0.783019
255,0.772043
256,0.782058
257,0.762412
258,0.763029
259,0.770449
260,0.77993
261,0.791549
262,0.79167
263,0.791929
264,0.792442
265,0.795245
266,0.804343
267,0.808248
268,0.82932
269,0.834963
270,0.835508
271,0.821162
272,0.822227
273,0.821001
274,0.826314
275,0.82716
276,0.828159
277,0.829684
278,0.827088
279,0.826548
280,0.827516
281,0.82784
282,0.826859
283,0.832363
284,0.826215
285,0.827257
286,0.826384
287,0.831369
288,0.831597
289,0.830784
290,0.81881
291,0.830267
292,0.820209
293,0.83042
294,0.831602
295,0.816637
296,0.831797
297,0.826965
298,0.832367
299,0.826843
300,0.826746
301,0.826806
302,0.825645
303,0.826129
304,0.825228
305,0.823439
306,0.811023
307,0.810268
308,0.810321
309,0.81042
310,0.813037
311,0.814146
312,0.824014
313,0.828706
314,0.831594
315,0.839059
316,0.839847
317,0.835187
318,0.83032
319,0.831446
320,0.831424
321,0.839483
322,0.840096
323,0.84632
324,0.848953
325,0.858526
326,0.84807
327,0.847641
328,0.845312
329,0.843913
330,0.83857
331,0.833076
332,0.82913
333,0.829891
334,0.835211
