time(in secs),dynamic density
0.2,0.0864766
0.4,0.11894
0.6,0.0957833
0.8,0.101635
1,0.0470118
1.2,0.067068
1.4,0.0523632
1.6,0.0566312
1.8,0.0532516
2,0.0686995
2.2,0.102159
2.4,0.0905728
2.6,0.0868805
2.8,0.079342
3,0.086114
3.2,0.0741453
3.4,0.0559103
3.6,0.0658266
3.8,0.047299
4,0.0483528
4.2,0.0501041
4.4,0.021744
4.6,0.0216019
4.8,0.0188297
5,0.0216274
5.2,0.024884
5.4,0.0251607
5.6,0.0416624
5.8,0.0451057
6,0.0698381
6.2,0.0551926
6.4,0.0564828
6.6,0.0539576
6.8,0.0480454
7,0.0899569
7.2,0.0768889
7.4,0.067508
7.6,0.0861013
7.8,0.113929
8,0.113063
8.2,0.110768
8.4,0.111536
8.6,0.100941
8.8,0.0992075
9,0.111576
9.2,0.128012
9.4,0.128809
9.6,0.106225
9.8,0.0700183
10,0.0685363
10.2,0.072058
10.4,0.0740181
10.6,0.0520706
10.8,0.0732866
11,0.0796388
11.2,0.0586921
11.4,0.0781027
11.6,0.0583952
11.8,0.0507359
12,0.0468697
12.2,0.0480623
12.4,0.0669694
12.6,0.06511
12.8,0.0526251
13,0.0446265
13.2,0.0163395
13.4,0.0177018
13.6,0.0270509
13.8,0.0173116
14,0.0174463
14.2,0
14.4,0
14.6,0.0217365
14.8,0.0189909
15,0.0176657
15.2,0.0174113
15.4,0.0200276
15.6,0.0169374
15.8,0.0151946
16,0
16.2,0
16.4,0.0152677
16.6,0
16.8,0
17,0
17.2,0
17.4,0
17.6,0
17.8,0
18,0
18.2,0
18.4,0
18.6,0
18.8,0
19,0.0171431
19.2,0
19.4,0
19.6,0
19.8,0
20,0
20.2,0
20.4,0
20.6,0
20.8,0.0165992
21,0.0157087
21.2,0.0157586
21.4,0
21.6,0
21.8,0.0148819
22,0
22.2,0.0148744
22.4,0
22.6,0.0176551
22.8,0.0171229
23,0
23.2,0.0190258
23.4,0.0197234
23.6,0.0220853
23.8,0.0213369
24,0.0218309
24.2,0.0217874
24.4,0.0213093
24.6,0.0196142
24.8,0.0190905
25,0.0189166
25.2,0.01894
25.4,0.0173975
25.6,0.0154109
25.8,0.0187958
26,0.0449223
26.2,0.0335017
26.4,0.0369714
26.6,0.0384164
26.8,0.0408154
27,0.0414578
27.2,0.058197
27.4,0.073135
27.6,0.0883445
27.8,0.104007
28,0.128226
28.2,0.142774
28.4,0.158364
28.6,0.166691
28.8,0.182058
29,0.192571
29.2,0.202447
29.4,0.211282
29.6,0.223298
29.8,0.228869
30,0.236245
30.2,0.241825
30.4,0.244191
30.6,0.245122
30.8,0.244852
31,0.240726
31.2,0.243037
31.4,0.240389
31.6,0.246805
31.8,0.242003
32,0.239529
32.2,0.243062
32.4,0.223076
32.6,0.238364
32.8,0.239007
33,0.215524
33.2,0.148246
33.4,0.0152137
33.6,0.0306267
33.8,0.0416327
34,0.0538717
34.2,0.0584949
34.4,0.0792837
34.6,0.0660705
34.8,0.0689624
35,0.0738527
35.2,0.0784377
35.4,0.102284
35.6,0.0814156
35.8,0.0787102
36,0.0817082
36.2,0.082711
36.4,0.090294
36.6,0.0893431
36.8,0.0849553
37,0.0856052
37.2,0.0794798
37.4,0.126161
37.6,0.310066
37.8,0.295228
38,0.027828
38.2,0
38.4,0.0180834
38.6,0.0191255
38.8,0.0514186
39,0.0435749
39.2,0.0678578
39.4,0.0587907
39.6,0.0618152
39.8,0.0623261
40,0.063911
40.2,0.0810658
40.4,0.0825001
40.6,0.0839503
40.8,0.0891184
41,0.11773
41.2,0.123828
41.4,0.136375
41.6,0.0824354
41.8,0.0988809
42,0.121936
42.2,0.0873512
42.4,0.106592
42.6,0.108261
42.8,0.0585829
43,0.0567892
43.2,0.0563238
43.4,0.0577899
43.6,0.0577899
43.8,0.0588893
44,0.0749701
44.2,0.0778897
44.4,0.080505
44.6,0.0846224
44.8,0.0859168
45,0.0888904
45.2,0.0921747
45.4,0.093556
45.6,0.0972823
45.8,0.0976014
46,0.101478
46.2,0.102509
46.4,0.122232
46.6,0.1239
46.8,0.103414
47,0.104704
47.2,0.105241
47.4,0.119052
47.6,0.061812
47.8,0.064634
48,0.102593
48.2,0.0572122
48.4,0.103254
48.6,0.0998266
48.8,0.0707805
49,0.0665878
49.2,0
49.4,0
49.6,0.060965
49.8,0
50,0.0163745
50.2,0
50.4,0
50.6,0.0371092
50.8,0.0208037
51,0
51.2,0
51.4,0
51.6,0.0235228
51.8,0
52,0.0185127
52.2,0
52.4,0
52.6,0
52.8,0
53,0.0176064
53.2,0.0212129
53.4,0.0313645
53.6,0.0343455
53.8,0.0374951
54,0.0417589
54.2,0.0638697
54.4,0.0662093
54.6,0.0731372
54.8,0.0206139
55,0.0419402
55.2,0.045676
55.4,0.0245352
55.6,0.0223525
55.8,0.0287481
56,0.0215807
56.2,0.0180516
56.4,0.0469026
56.6,0.0169554
56.8,0.020369
57,0.0220005
57.2,0.0177951
57.4,0.0174049
57.6,0.0418914
57.8,0.0312553
58,0.0288022
58.2,0.0203298
58.4,0.029593
58.6,0.0208832
58.8,0
59,0.0179191
59.2,0.0154575
59.4,0.016966
59.6,0.0161657
59.8,0.0229483
60,0.0170996
60.2,0.0219836
60.4,0.0594744
60.6,0.0163544
