frame,dynamic density
1,0.083221
2,0.0839811
3,0.11424
4,0.104708
5,0.111581
6,0.0957123
7,0.10288
8,0.0595433
9,0.0662136
10,0.0650771
11,0.075092
12,0.0920453
13,0.0905813
14,0.0904022
15,0.0994894
16,0.0696536
17,0.0612872
18,0.0592338
19,0.0752298
20,0.0743287
21,0.0792625
22,0.073064
23,0.14705
24,0.10558
25,0.0534615
26,0.116545
27,0.066539
28,0.115653
29,0.0806799
30,0.101369
31,0.0920347
32,0.160308
33,0.0951112
34,0.0845768
35,0.124939
36,0.0877317
37,0.101056
38,0.0933768
39,0.0908018
40,0.109989
41,0.112982
42,0.0890961
43,0.0916139
44,0.0972187
45,0.0919605
46,0.105878
47,0.125456
48,0.145343
49,0.120317
50,0.119244
51,0.0697141
52,0.101496
53,0.0913457
54,0.0804498
55,0.0922839
56,0.0852076
57,0.118789
58,0.0895361
59,0.0871625
60,0.0864437
61,0.0857461
62,0.0988248
63,0.0858808
64,0.0817092
65,0.134223
66,0.0712343
67,0.0554248
68,0.0611833
69,0.0796102
70,0.059079
71,0.0275385
72,0.0474326
73,0.119673
74,0.0806014
75,0.0608536
76,0.0648513
77,0.0735209
78,0.0409331
79,0.0344494
80,0.0479521
81,0.0321129
82,0.071423
83,0.066767
84,0.0393917
85,0.0289061
86,0.0284566
87,0.0418575
88,0.0345077
89,0.0247632
90,0.0865264
91,0.0265367
92,0.0202694
93,0.0230574
94,0.023384
95,0.02529
96,0.0285732
97,0.0327066
98,0.0922542
99,0.0502059
100,0.064564
101,0.0347463
102,0.0481811
103,0.0328253
104,0.0358477
105,0.0507995
106,0.0425317
107,0.102393
108,0.0622498
109,0.0575429
110,0.0495719
111,0.0480199
112,0.0428042
113,0.0402408
114,0.044283
115,0.116263
116,0.0721089
117,0.0610445
118,0.0654153
119,0.048745
120,0.0296418
121,0.0467351
122,0.04109
123,0.119351
124,0.0845238
125,0.0513084
126,0.0470022
127,0.0271611
128,0.052113
129,0.0519243
130,0.0528911
131,0.0606914
132,0.0997237
133,0.082675
134,0.0607349
