frame,queue density
1,0.080824
2,0.096854
3,0.105787
4,0.108762
5,0.11138
6,0.113914
7,0.115648
8,0.118033
9,0.119583
10,0.122172
11,0.134732
12,0.139939
13,0.139563
14,0.140667
15,0.141599
16,0.143793
17,0.146976
18,0.151957
19,0.146135
20,0.146942
21,0.151824
22,0.152899
23,0.152492
24,0.153289
25,0.154838
26,0.15649
27,0.158084
28,0.160377
29,0.193062
30,0.207343
31,0.211474
32,0.213495
33,0.226071
34,0.228729
35,0.228647
36,0.217834
37,0.237937
38,0.24789
39,0.254336
40,0.252908
41,0.252003
42,0.25226
43,0.253703
44,0.254446
45,0.255997
46,0.257924
47,0.259235
48,0.249398
49,0.269557
50,0.270518
51,0.265612
52,0.26431
53,0.267304
54,0.252381
55,0.250348
56,0.248705
57,0.242497
58,0.240332
59,0.235313
60,0.240331
61,0.245962
62,0.239791
63,0.243693
64,0.23772
65,0.242486
66,0.248494
67,0.250631
68,0.248325
69,0.247051
70,0.247273
71,0.247707
72,0.246232
73,0.24155
74,0.242465
75,0.242684
76,0.243442
77,0.244075
78,0.245284
79,0.243865
80,0.23851
81,0.241268
82,0.239305
83,0.23385
84,0.234103
85,0.236152
86,0.236181
87,0.236402
88,0.236901
89,0.237037
90,0.232987
91,0.23854
92,0.238251
93,0.234832
94,0.249031
95,0.251993
96,0.249047
97,0.233809
98,0.234062
99,0.234968
100,0.235281
101,0.235499
102,0.236716
103,0.249426
104,0.253317
105,0.255245
106,0.253002
107,0.246082
108,0.24628
109,0.246553
110,0.250269
111,0.250028
112,0.249677
113,0.252777
114,0.252991
115,0.249635
116,0.250968
117,0.261033
118,0.257494
119,0.260553
120,0.259332
121,0.258838
122,0.259342
123,0.25598
124,0.257208
125,0.257862
126,0.261149
127,0.26092
128,0.257633
129,0.267476
130,0.270228
131,0.274686
132,0.272909
133,0.275003
134,0.275875
135,0.279148
136,0.299804
137,0.315442
138,0.330679
139,0.342615
140,0.342798
141,0.354355
142,0.367186
143,0.37878
144,0.388541
145,0.408931
146,0.414122
147,0.41757
148,0.402789
149,0.417163
150,0.424371
151,0.42822
152,0.447457
153,0.433599
154,0.437448
155,0.459464
156,0.456823
157,0.449222
158,0.453223
159,0.45852
160,0.460743
161,0.460553
162,0.462718
163,0.462704
164,0.463531
165,0.457433
166,0.456171
167,0.457583
168,0.486015
169,0.50114
170,0.522731
171,0.533734
172,0.54262
173,0.549416
174,0.550166
175,0.558737
176,0.562911
177,0.562472
178,0.566503
179,0.573889
180,0.577827
181,0.578929
182,0.57977
183,0.58277
184,0.59252
185,0.591712
186,0.591887
187,0.575691
188,0.573808
189,0.572674
190,0.560083
191,0.56498
192,0.576203
193,0.593713
194,0.604149
195,0.613157
196,0.613733
197,0.624294
198,0.628478
199,0.634506
200,0.638643
201,0.65395
202,0.669171
203,0.685433
204,0.703713
205,0.710994
206,0.716213
207,0.717492
208,0.728421
209,0.733689
210,0.741657
211,0.74593
212,0.746821
213,0.746282
214,0.744063
215,0.737784
216,0.737907
217,0.739165
218,0.737928
219,0.749854
220,0.751922
221,0.753917
222,0.759293
223,0.750258
224,0.755331
225,0.75609
226,0.760488
227,0.77018
228,0.76056
229,0.765188
230,0.765152
231,0.765961
232,0.760613
233,0.768303
234,0.782561
235,0.780295
236,0.780588
237,0.783423
238,0.784353
239,0.785643
240,0.780184
241,0.781963
242,0.782542
243,0.783027
244,0.782566
245,0.784115
246,0.777918
247,0.777894
248,0.761959
249,0.764519
250,0.769447
251,0.770416
252,0.771268
253,0.778284
254,0.766149
255,0.756139
256,0.766362
257,0.744915
258,0.745947
259,0.753725
260,0.763121
261,0.77518
262,0.775388
263,0.775751
264,0.776276
265,0.773334
266,0.783267
267,0.787563
268,0.808856
269,0.818757
270,0.8196
271,0.805308
272,0.803073
273,0.791698
274,0.797365
275,0.804403
276,0.806302
277,0.802889
278,0.802213
279,0.801794
280,0.805448
281,0.805762
282,0.804666
283,0.81099
284,0.806765
285,0.80887
286,0.80798
287,0.804963
288,0.799788
289,0.804603
290,0.788368
291,0.800811
292,0.791008
293,0.785238
294,0.787566
295,0.783618
296,0.793069
297,0.790227
298,0.796289
299,0.790969
300,0.787634
301,0.78862
302,0.79615
303,0.795819
304,0.795187
305,0.793563
306,0.781401
307,0.783386
308,0.78414
309,0.784301
310,0.776395
311,0.779922
312,0.791841
313,0.796757
314,0.800057
315,0.805678
316,0.80613
317,0.802901
318,0.79931
319,0.800933
320,0.801218
321,0.810006
322,0.811685
323,0.821588
324,0.824523
325,0.834154
326,0.823746
327,0.810649
328,0.807953
329,0.806948
330,0.80939
331,0.803344
332,0.799331
333,0.801378
334,0.800463
335,0.795281
336,0.79751
337,0.791019
338,0.791076
339,0.787838
340,0.79349
341,0.795547
342,0.795255
343,0.790541
344,0.789576
345,0.787367
346,0.797957
347,0.797258
348,0.797174
349,0.797909
350,0.792215
351,0.791074
352,0.795745
353,0.785091
354,0.775694
355,0.78307
356,0.78345
357,0.785329
358,0.785304
359,0.779791
360,0.781904
361,0.78229
362,0.783589
363,0.784434
364,0.790876
365,0.792306
366,0.794999
367,0.795631
368,0.794194
369,0.795785
370,0.780965
371,0.779322
372,0.785064
373,0.78325
374,0.790385
375,0.789501
376,0.792386
377,0.792813
378,0.792144
379,0.778046
380,0.778735
381,0.789342
382,0.789908
383,0.779579
384,0.789037
385,0.788729
386,0.784832
387,0.776432
388,0.782644
389,0.781146
390,0.785334
391,0.782395
392,0.782715
393,0.783825
394,0.783147
395,0.776921
396,0.780781
397,0.782347
398,0.784263
399,0.78514
400,0.78548
401,0.791317
402,0.791467
403,0.786997
404,0.787498
405,0.789025
406,0.790263
407,0.791357
408,0.791745
409,0.792948
410,0.795106
411,0.802849
412,0.787832
413,0.795108
414,0.795354
415,0.79424
416,0.79198
417,0.786027
418,0.785777
419,0.786316
420,0.782911
421,0.783064
422,0.787185
423,0.793599
424,0.797451
425,0.800179
426,0.802225
427,0.795845
428,0.79346
429,0.784794
430,0.786977
431,0.79532
432,0.796442
433,0.797482
434,0.796607
435,0.794714
436,0.794086
437,0.793416
438,0.791986
439,0.799091
440,0.799254
441,0.792535
442,0.790498
443,0.791081
444,0.791405
445,0.770719
446,0.773174
447,0.773508
448,0.785551
449,0.798556
450,0.805778
451,0.801644
452,0.796639
453,0.797687
