frame,dynamic density
1,0.0864766
2,0.11894
3,0.0957833
4,0.101635
5,0.0470118
6,0.067068
7,0.0523632
8,0.0566312
9,0.0532516
10,0.0686995
11,0.102159
12,0.0905728
13,0.0868805
14,0.079342
15,0.086114
16,0.0741453
17,0.0559103
18,0.0658266
19,0.047299
20,0.0483528
21,0.0501041
22,0.021744
23,0.0216019
24,0.0188297
25,0.0216274
26,0.024884
27,0.0251607
28,0.0416624
29,0.0451057
30,0.0698381
31,0.0551926
32,0.0564828
33,0.0539576
34,0.0480454
35,0.0899569
36,0.0768889
37,0.067508
38,0.0861013
39,0.113929
40,0.113063
41,0.110768
42,0.111536
43,0.100941
44,0.0992075
45,0.111576
46,0.128012
47,0.128809
48,0.106225
49,0.0700183
50,0.0685363
51,0.072058
52,0.0740181
53,0.0520706
54,0.0732866
55,0.0796388
56,0.0586921
57,0.0781027
58,0.0583952
59,0.0507359
60,0.0468697
61,0.0480623
62,0.0669694
63,0.06511
64,0.0526251
65,0.0446265
66,0.0163395
67,0.0177018
68,0.0270509
69,0.0173116
70,0.0174463
71,0
72,0
73,0.0217365
74,0.0189909
75,0.0176657
76,0.0174113
77,0.0200276
78,0.0169374
79,0.0151946
80,0
81,0
82,0.0152677
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0.0171431
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0.0165992
105,0.0157087
106,0.0157586
107,0
108,0
109,0.0148819
110,0
111,0.0148744
112,0
113,0.0176551
114,0.0171229
115,0
116,0.0190258
117,0.0197234
118,0.0220853
119,0.0213369
120,0.0218309
121,0.0217874
122,0.0213093
123,0.0196142
124,0.0190905
125,0.0189166
126,0.01894
127,0.0173975
128,0.0154109
129,0.0187958
130,0.0449223
131,0.0335017
132,0.0369714
133,0.0384164
134,0.0408154
135,0.0414578
136,0.058197
137,0.073135
138,0.0883445
139,0.104007
140,0.128226
141,0.142774
142,0.158364
143,0.166691
144,0.182058
145,0.192571
146,0.202447
147,0.211282
148,0.223298
149,0.228869
150,0.236245
151,0.241825
152,0.244191
153,0.245122
154,0.244852
155,0.240726
156,0.243037
157,0.240389
158,0.246805
159,0.242003
160,0.239529
161,0.243062
162,0.223076
163,0.238364
164,0.239007
165,0.215524
166,0.148246
167,0.0152137
168,0.0306267
169,0.0416327
170,0.0538717
171,0.0584949
172,0.0792837
173,0.0660705
174,0.0689624
175,0.0738527
176,0.0784377
177,0.102284
178,0.0814156
179,0.0787102
180,0.0817082
181,0.082711
182,0.090294
183,0.0893431
184,0.0849553
185,0.0856052
186,0.0794798
187,0.126161
188,0.310066
189,0.295228
190,0.027828
191,0
192,0.0180834
193,0.0191255
194,0.0514186
195,0.0435749
196,0.0678578
197,0.0587907
198,0.0618152
199,0.0623261
200,0.063911
201,0.0810658
202,0.0825001
203,0.0839503
204,0.0891184
205,0.11773
206,0.123828
207,0.136375
208,0.0824354
209,0.0988809
210,0.121936
211,0.0873512
212,0.106592
213,0.108261
214,0.0585829
215,0.0567892
216,0.0563238
217,0.0577899
218,0.0577899
219,0.0588893
220,0.0749701
221,0.0778897
222,0.080505
223,0.0846224
224,0.0859168
225,0.0888904
226,0.0921747
227,0.093556
228,0.0972823
229,0.0976014
230,0.101478
231,0.102509
232,0.122232
233,0.1239
234,0.103414
235,0.104704
236,0.105241
237,0.119052
238,0.061812
239,0.064634
240,0.102593
241,0.0572122
242,0.103254
243,0.0998266
244,0.0707805
245,0.0665878
246,0
247,0
248,0.060965
249,0
250,0.0163745
251,0
252,0
253,0.0371092
254,0.0208037
255,0
256,0
257,0
258,0.0235228
259,0
260,0.0185127
261,0
262,0
263,0
264,0
265,0.0176064
266,0.0212129
267,0.0313645
268,0.0343455
269,0.0374951
270,0.0417589
271,0.0638697
272,0.0662093
273,0.0731372
274,0.0206139
275,0.0419402
276,0.045676
277,0.0245352
278,0.0223525
279,0.0287481
280,0.0215807
281,0.0180516
282,0.0469026
283,0.0169554
284,0.020369
285,0.0220005
286,0.0177951
