frame,queue density
1,0.035288
2,0.0381376
3,0.0401083
4,0.040614
5,0.0407041
6,0.0409256
7,0.0409765
8,0.0411006
9,0.0411281
10,0.0414197
11,0.0417928
12,0.0418532
13,0.0418331
14,0.0548004
15,0.0588638
16,0.0627417
17,0.06578
18,0.0680497
19,0.0699643
20,0.0713466
21,0.0727078
22,0.0735262
23,0.0734001
24,0.0732283
25,0.0734266
26,0.0732951
27,0.073487
28,0.0735602
29,0.0738305
30,0.073822
31,0.0737266
32,0.0858553
33,0.0919627
34,0.0931055
35,0.0915651
36,0.0879056
37,0.0867851
38,0.0866366
39,0.0866631
40,0.0869547
41,0.0764267
42,0.0762274
43,0.0881441
44,0.0795265
45,0.0816244
46,0.083486
47,0.0836217
48,0.0777741
49,0.0931627
50,0.0949797
51,0.0957875
52,0.0959614
53,0.0943839
54,0.0935751
55,0.0924567
56,0.0935443
57,0.0916902
58,0.0922786
59,0.0921174
60,0.0984548
61,0.0982767
62,0.0963356
63,0.0955787
64,0.0945016
65,0.0943309
66,0.094526
67,0.0918524
68,0.0876045
69,0.0874667
70,0.088089
71,0.0884229
72,0.089464
73,0.0775642
74,0.0884166
75,0.0882947
76,0.0881791
77,0.0886848
78,0.0893452
79,0.0896516
80,0.0897682
81,0.0942143
82,0.0931065
83,0.0870596
84,0.0870501
85,0.0867511
86,0.0762147
87,0.0763514
88,0.0766705
89,0.0876141
90,0.0862921
91,0.0914273
92,0.0914209
93,0.0880254
94,0.0878155
95,0.0877328
96,0.0875176
97,0.0866271
98,0.0869324
99,0.087313
100,0.0871338
101,0.0872282
102,0.0872388
103,0.0872483
104,0.087313
105,0.0871084
106,0.0869006
107,0.0757769
108,0.0757132
109,0.0755192
110,0.0755002
111,0.0754917
112,0.0754546
113,0.0754959
114,0.0860472
115,0.0755288
116,0.0756973
117,0.0756528
118,0.0757058
119,0.0862794
120,0.0862698
121,0.0756094
122,0.0755786
123,0.0760451
124,0.0759327
125,0.0760005
126,0.0759486
127,0.0760122
128,0.0760133
129,0.0760779
130,0.0762518
131,0.0761405
132,0.0867204
133,0.0761002
134,0.0762369
135,0.0868868
136,0.076397
137,0.0765242
138,0.0762179
139,0.0763938
140,0.0757917
141,0.0757726
142,0.0760684
143,0.0761521
144,0.0758765
145,0.0758754
146,0.0757419
147,0.0758235
148,0.076185
149,0.0764786
150,0.0765963
151,0.087666
152,0.0932051
153,0.0955988
154,0.102174
155,0.103918
156,0.102516
157,0.0992053
158,0.10116
159,0.105652
160,0.106889
161,0.106783
162,0.107957
163,0.109037
164,0.109523
165,0.108994
166,0.107322
167,0.108783
168,0.109376
169,0.109845
170,0.110048
171,0.110624
172,0.110881
173,0.110326
174,0.110481
175,0.11058
176,0.121236
177,0.110545
178,0.121526
179,0.121367
180,0.111789
181,0.123392
182,0.110785
183,0.112585
184,0.124456
185,0.125837
186,0.127137
187,0.126363
188,0.12682
189,0.128029
190,0.114346
191,0.113945
192,0.114222
193,0.124006
194,0.114635
195,0.116471
196,0.121257
197,0.118115
198,0.11299
199,0.11146
200,0.11124
201,0.111204
202,0.112167
203,0.115531
204,0.117164
205,0.117852
206,0.118148
207,0.116311
208,0.11968
209,0.120567
210,0.12052
211,0.120665
212,0.120126
213,0.119578
214,0.11868
215,0.114694
216,0.115157
217,0.116067
218,0.116641
219,0.116671
220,0.117439
221,0.117891
222,0.117809
223,0.115551
224,0.116063
225,0.116337
226,0.117116
227,0.117423
228,0.116781
229,0.117198
230,0.117277
231,0.117462
232,0.117358
233,0.117323
234,0.117647
235,0.11861
236,0.118101
237,0.118837
238,0.119139
239,0.120514
240,0.118641
241,0.119336
242,0.119601
243,0.119584
244,0.119359
245,0.119601
246,0.117921
247,0.117387
248,0.113792
249,0.114432
250,0.114478
251,0.114119
252,0.114343
253,0.114291
254,0.113922
255,0.113413
256,0.112848
257,0.112076
258,0.112275
259,0.1128
260,0.113768
261,0.115448
262,0.116676
263,0.116988
264,0.117187
265,0.115658
266,0.115831
267,0.115437
268,0.116634
269,0.117272
270,0.117811
271,0.117897
272,0.118371
273,0.115684
274,0.115634
275,0.116316
276,0.116354
277,0.117765
278,0.116701
279,0.116436
280,0.116506
281,0.116421
282,0.115458
283,0.115312
284,0.1135
285,0.113823
286,0.112065
287,0.112303
288,0.112566
289,0.112172
290,0.111292
291,0.111961
292,0.11213
293,0.108327
294,0.108734
295,0.107763
296,0.109269
297,0.110579
298,0.111015
299,0.111581
300,0.110894
301,0.110098
302,0.110839
303,0.11086
304,0.110112
305,0.108799
306,0.104963
307,0.105033
308,0.105385
309,0.10534
310,0.104962
311,0.105142
312,0.10851
313,0.111989
314,0.113587
315,0.120948
316,0.121187
317,0.120789
318,0.115655
319,0.116273
320,0.11573
321,0.115742
322,0.115788
323,0.117827
324,0.120506
325,0.121258
326,0.112394
327,0.12415
328,0.122511
329,0.122313
330,0.119924
331,0.119081
332,0.119146
333,0.119271
334,0.11986
335,0.11485
336,0.114824
337,0.115183
338,0.114882
339,0.111395
340,0.103884
341,0.103713
342,0.103991
343,0.103991
344,0.103935
345,0.103879
346,0.104155
347,0.104084
348,0.103851
349,0.104075
350,0.103966
351,0.104104
352,0.10468
353,0.104048
354,0.102973
355,0.10285
356,0.103532
357,0.103266
358,0.103989
359,0.104083
360,0.104075
361,0.104075
362,0.104538
363,0.104541
364,0.104507
365,0.104735
366,0.10476
367,0.104792
368,0.104719
369,0.105119
370,0.103563
371,0.103576
372,0.103587
373,0.10352
374,0.102914
375,0.102926
376,0.103704
377,0.10369
378,0.103919
379,0.103956
380,0.105181
381,0.105443
382,0.106138
383,0.106541
384,0.10646
385,0.106763
386,0.107772
387,0.106231
388,0.11366
389,0.10603
390,0.105214
391,0.105697
392,0.105258
393,0.104988
394,0.104912
395,0.103567
396,0.103832
397,0.103742
398,0.103608
399,0.103902
400,0.103903
401,0.104371
402,0.104514
403,0.104541
404,0.104083
405,0.10418
406,0.104202
407,0.104643
408,0.104269
409,0.104756
410,0.106118
411,0.106841
412,0.106592
413,0.108108
414,0.111346
415,0.111034
416,0.108713
417,0.10589
418,0.106041
419,0.105456
420,0.105379
421,0.10543
422,0.106014
423,0.106113
424,0.106138
425,0.106137
426,0.101629
427,0.0997396
428,0.0998372
429,0.101655
430,0.107376
431,0.109221
432,0.109755
433,0.109219
434,0.109735
435,0.108761
436,0.108701
437,0.107578
438,0.106201
439,0.105219
440,0.105259
441,0.105117
442,0.105125
443,0.105407
444,0.105495
445,0.104787
446,0.104958
447,0.105368
448,0.107335
449,0.108766
450,0.110748
451,0.112575
452,0.114879
453,0.115493
454,0.113946
455,0.112831
456,0.113337
457,0.113262
458,0.110772
459,0.110611
460,0.110434
461,0.110026
462,0.105915
463,0.106198
464,0.104737
465,0.103729
466,0.102062
467,0.101577
468,0.100717
469,0.100461
470,0.104335
471,0.104609
472,0.104652
473,0.105712
474,0.109982
475,0.107609
476,0.117169
477,0.120302
478,0.113335
479,0.124785
480,0.126932
481,0.127499
482,0.136324
483,0.13789
484,0.137362
485,0.143537
486,0.144409
487,0.147994
488,0.148176
489,0.150109
490,0.14543
491,0.148398
492,0.148067
493,0.149088
494,0.162423
495,0.165739
496,0.166623
497,0.174694
498,0.184226
499,0.183005
500,0.159529
501,0.160197
502,0.165971
503,0.172543
504,0.173498
505,0.165842
506,0.147838
507,0.136874
508,0.133506
509,0.126803
510,0.118449
511,0.125511
512,0.125416
513,0.122186
514,0.129956
515,0.12528
516,0.127487
517,0.130237
518,0.142353
519,0.13687
520,0.127328
521,0.112623
522,0.122531
523,0.129285
524,0.12712
525,0.136512
526,0.133337
527,0.126866
528,0.124891
529,0.129539
530,0.132062
531,0.146723
532,0.151044
533,0.137642
534,0.154483
535,0.156316
536,0.153075
537,0.165561
538,0.175011
539,0.164498
540,0.175482
541,0.183004
542,0.174981
543,0.167875
544,0.172212
545,0.140773
546,0.136269
547,0.137709
548,0.135104
549,0.126628
550,0.114153
551,0.119231
552,0.12374
553,0.119039
554,0.117463
555,0.109954
556,0.108508
557,0.124947
558,0.11388
559,0.125793
560,0.141585
561,0.167684
562,0.16968
563,0.149073
564,0.152305
565,0.160078
566,0.163427
567,0.159837
568,0.161068
569,0.15355
570,0.136204
571,0.142658
572,0.138631
573,0.106349
574,0.119046
575,0.139681
576,0.14817
577,0.151721
578,0.151386
579,0.143488
580,0.13477
581,0.125945
582,0.116545
583,0.0934479
584,0.0951631
585,0.105265
586,0.106966
587,0.111754
588,0.109223
589,0.103832
590,0.08682
591,0.0968455
592,0.0926581
593,0.0803809
594,0.0704127
595,0.0634668
596,0.0730852
597,0.0758818
598,0.0821333
599,0.079377
600,0.0958215
601,0.106912
602,0.117173
603,0.113347
604,0.107029
605,0.0935581
606,0.0910404
607,0.0762444
608,0.0884198
609,0.104011
610,0.096871
611,0.112865
612,0.124794
613,0.11269
614,0.0950179
615,0.0702897
616,0.0444961
617,0.0141186
618,0.0218733
619,0.0241441
620,0.042608
621,0.0445756
622,0.0337815
623,0.0411811
624,0.0520197
625,0.0546668
626,0.0517176
627,0.0614855
628,0.0851811
629,0.0953752
630,0.0856454
631,0.0913563
632,0.0797396
633,0.0775663
634,0.102235
635,0.0972993
636,0.0771168
637,0.0593716
638,0.05035
639,0.0480644
640,0.0378672
641,0.0452477
642,0.0547559
643,0.0812216
644,0.0957356
645,0.114154
646,0.114429
647,0.127061
648,0.122961
649,0.0991364
650,0.0725403
651,0.0538209
652,0.0377262
653,0.0270255
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0.0291075
675,0.0569429
676,0.0608165
677,0.0407115
678,0.0562464
679,0.0811262
680,0.0755828
681,0.0830704
682,0.08629
683,0.0617325
684,0.0579161
685,0.0622085
686,0.057844
687,0.0462432
688,0.0415638
689,0.028287
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0.0144345
710,0.0265961
711,0.0336861
712,0.0288817
713,0.0438123
714,0.0478916
715,0.0565835
716,0.0585331
717,0.0696801
718,0.0865349
719,0.0941168
720,0.100772
721,0.105156
722,0.105549
723,0.103395
724,0.0993803
725,0.0863971
726,0.0813562
727,0.0712396
728,0.0583306
729,0.0474909
730,0.0350399
731,0.0261328
732,0.0155996
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0.0319613
767,0.058515
768,0.0623018
769,0.0583624
770,0.0532007
771,0.0488489
772,0.0321829
773,0.0254851
774,0
775,0
776,0.0163734
777,0.0157713
778,0
779,0.0133839
780,0.0165038
781,0.0164264
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0.0119602
793,0.0129768
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0.0231412
802,0.0415066
803,0.0599865
804,0.0570478
805,0.0433618
806,0.019999
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0.0277728
819,0.0370191
820,0.0397383
821,0.0351629
822,0.0218076
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0.013103
834,0.0175321
835,0.0149603
836,0.0106032
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
