frame,queue density
1,0.0842153
2,0.11166
3,0.129656
4,0.134422
5,0.139647
6,0.142683
7,0.146584
8,0.15074
9,0.154064
10,0.170212
11,0.175402
12,0.18312
13,0.18485
14,0.185274
15,0.185749
16,0.18831
17,0.191584
18,0.19294
19,0.195162
20,0.191584
21,0.192567
22,0.193042
23,0.194688
24,0.193755
25,0.195434
26,0.196519
27,0.198538
28,0.226796
29,0.234446
30,0.261449
31,0.274052
32,0.273594
33,0.275782
34,0.276053
35,0.276986
36,0.277275
37,0.293219
38,0.307382
39,0.319119
40,0.318831
41,0.319306
42,0.316999
43,0.3209
44,0.322868
45,0.327346
46,0.33201
47,0.339236
48,0.343748
49,0.342679
50,0.338473
51,0.331552
52,0.326209
53,0.324852
54,0.321782
55,0.317152
56,0.322749
57,0.319577
58,0.316422
59,0.315608
60,0.310995
61,0.309281
62,0.306669
63,0.304719
64,0.303786
65,0.299223
66,0.299783
67,0.298986
68,0.298443
69,0.29868
70,0.299478
71,0.300071
72,0.299087
73,0.298053
74,0.295084
75,0.296034
76,0.296747
77,0.298019
78,0.299986
79,0.300529
80,0.298494
81,0.300478
82,0.298307
83,0.299969
84,0.317813
85,0.300207
86,0.301513
87,0.303192
88,0.303209
89,0.303158
90,0.299155
91,0.298188
92,0.296899
93,0.292846
94,0.306483
95,0.318746
96,0.320103
97,0.305635
98,0.29198
99,0.299172
100,0.299172
101,0.29963
102,0.300105
103,0.300835
104,0.305533
105,0.308637
106,0.309129
107,0.308722
108,0.309129
109,0.309061
110,0.308925
111,0.308247
112,0.308145
113,0.308162
114,0.308026
115,0.297103
116,0.311453
117,0.31208
118,0.311368
119,0.314302
120,0.312928
121,0.320154
122,0.320137
123,0.319357
124,0.319476
125,0.321765
126,0.319917
127,0.319849
128,0.320222
129,0.334792
130,0.341085
131,0.343019
132,0.33793
133,0.340813
134,0.342153
135,0.343527
136,0.358912
137,0.373126
138,0.392479
139,0.407863
140,0.417057
141,0.433798
142,0.449233
143,0.465618
144,0.481766
145,0.503884
146,0.512925
147,0.517522
148,0.528648
149,0.531159
150,0.55075
151,0.561911
152,0.567101
153,0.572715
154,0.574208
155,0.573936
156,0.577261
157,0.576837
158,0.577091
159,0.577329
160,0.57721
161,0.577787
162,0.578465
163,0.577956
164,0.577363
165,0.57414
166,0.575209
167,0.588371
168,0.603586
169,0.630063
170,0.647517
171,0.645227
172,0.650943
173,0.656235
174,0.670025
175,0.673723
176,0.676454
177,0.713108
178,0.697842
179,0.69272
180,0.688395
181,0.692652
182,0.688174
183,0.685732
184,0.684477
185,0.681203
186,0.677895
187,0.676064
188,0.675877
189,0.673333
190,0.669872
191,0.682136
192,0.686071
193,0.691651
194,0.705475
195,0.716246
196,0.723099
197,0.726983
198,0.732461
199,0.742656
200,0.751713
201,0.768336
202,0.778954
203,0.791251
204,0.801564
205,0.809875
206,0.815354
207,0.868139
208,0.868122
209,0.869021
210,0.868783
211,0.867952
212,0.867206
213,0.86573
214,0.862694
215,0.858623
216,0.855842
217,0.852772
218,0.863644
219,0.863576
220,0.863576
221,0.865018
222,0.865476
223,0.861761
224,0.856961
225,0.862881
226,0.862847
227,0.865103
228,0.866341
229,0.867749
230,0.867444
231,0.867138
232,0.865747
233,0.866816
234,0.866324
235,0.866884
236,0.867291
237,0.866918
238,0.8688
239,0.868309
240,0.86897
241,0.870123
242,0.870157
243,0.872702
244,0.873261
245,0.873126
246,0.872549
247,0.871345
